5'上个赛季申花客场遭遇人和的高空轰炸，客场2-4告负                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
5'人和后场过顶球到前场，戴琳回防犹豫中拉法将球拿到                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
6'拉法带球至禁区右上角，直接拔脚怒射，王大雷将球没收                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
6'人和两个边路打的相当不错，连续的边路传中                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
7'申花的左路进攻机会啊，柏佳俊拿球下底传中                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
7'宋博轩中路包抄停球不好，在调整起脚打门                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
7'球被萨利干扰，张烈及时出击将球拿到                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
8'王寿挺中场抢断，于海原地反抢，放倒了王寿挺                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
8'申花右路的进攻赢得角球机会，姜坤主罚                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
8'进球啦                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
8'哈蒂布！！！！                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
10'开场仅仅8分钟，申花就取得了领先，很意外哦                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
10'宋博轩左路拿球强突，曲波回防将球破坏出边线                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
10'申花右侧45度斜传球到禁区，萨利头球解围                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
11'姜坤前场拿球，大范围转移球到左路给到宋博轩                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
