10'费尔哈赫右路拿球，回敲洪正好                   10'前10分钟内，罗本就有2次远射很有威胁
10'转移另一边，贝纳蒂亚拦截，回传诺伊尔                   10'前10分钟内，罗本就有2次远射很有威胁
10'中场争顶，阿隆索犯规了                   10'前10分钟内，罗本就有2次远射很有威胁
11'任意球搓禁区前，维尔纳头球吊射顶偏                   10'前10分钟内，罗本就有2次远射很有威胁
11'里贝里中场停球失误，反抢犯规了                   10'前10分钟内，罗本就有2次远射很有威胁
12'莱万前场拉球转身，回敲                   10'前10分钟内，罗本就有2次远射很有威胁
12'博阿滕给左路身后，里贝里插上被破坏                   10'前10分钟内，罗本就有2次远射很有威胁
13'奥格斯堡右路送长传，没有找到队友                   10'前10分钟内，罗本就有2次远射很有威胁
13'拜仁后场控制球                   10'前10分钟内，罗本就有2次远射很有威胁
33'奥格斯堡后场的转移球给出了边线                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
34'维尔纳插上，被贝纳蒂亚卡住位置                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
34'拜仁后场控制球                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
34'罗本突破，分球到右边路                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
35'拜仁继续在外围耐心倒球                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
35'罗德拿球被抢断了                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
35'奥格斯堡继续长传转移，没有传到位                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
36'里贝里左路下底，没有追上                   33'夹防第33分钟，罗本突入禁区左侧，没传给另一侧接应的莱万，在门前11米处左脚抽射被曼宁格封出
