1'比赛开始                   1'两队第1分钟均显得小心谨慎
1'曼城开出皮球                   1'两队第1分钟均显得小心谨慎
1'热刺在新球场迎来曼城                   1'两队第1分钟均显得小心谨慎
1' 后场右路特里皮尔把球踢出了边线                   1'两队第1分钟均显得小心谨慎
2'曼城左路进攻，席尔瓦左路小角度攻门偏出                   1'两队第1分钟均显得小心谨慎
2'这个球有越位嫌疑                   1'两队第1分钟均显得小心谨慎
2'热刺后场拿球，回传门将                   1'两队第1分钟均显得小心谨慎
3'镜头给到了瓜迪奥拉                   1'两队第1分钟均显得小心谨慎
3'两支球队未来10天能有3场交流                   1'两队第1分钟均显得小心谨慎
3'两回合欧冠四分之一决赛和一场英超                   1'两队第1分钟均显得小心谨慎
13' 阿圭罗来主罚点球，被扑出了！！被洛里扑出了                   13'曼城第13分钟错失良机，斯特林禁区边缘内劲射被罗斯用手封堵，荷兰主裁凯珀斯亲自在场边观看VAR后判罚点球，但阿圭罗射出的点球却被洛里斯神勇扑出
13'这个球瓜迪奥拉没敢看，也没进                   13'曼城第13分钟错失良机，斯特林禁区边缘内劲射被罗斯用手封堵，荷兰主裁凯珀斯亲自在场边观看VAR后判罚点球，但阿圭罗射出的点球却被洛里斯神勇扑出
14' 中前场左侧！！热刺的边线球                   13'曼城第13分钟错失良机，斯特林禁区边缘内劲射被罗斯用手封堵，荷兰主裁凯珀斯亲自在场边观看VAR后判罚点球，但阿圭罗射出的点球却被洛里斯神勇扑出
14'热刺边线球掷出给到左路                   13'曼城第13分钟错失良机，斯特林禁区边缘内劲射被罗斯用手封堵，荷兰主裁凯珀斯亲自在场边观看VAR后判罚点球，但阿圭罗射出的点球却被洛里斯神勇扑出
79' 席尔瓦和队友进行了撞墙配合！！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
80' 杀到了禁区里中路！！席尔瓦右脚推射！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
80' 皮球被防守球员挡出去了！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
80'沃克得球了！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
81' 往前盘带！一脚传中球！！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
81' 皮球被热刺球员一挡！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
80'第78分钟，热刺打破场上僵局，中场给到禁区里右侧底线，孙兴慜得到皮球，底线处在皮球出界之前盘带回来，杀到了小禁区前沿，随后左脚低射穿裆球把球射入了球门！主裁判经过与VAR沟通后确认进球有效！热刺1-0领先曼城！                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
80' 万亚马登场                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
81' 皮球被热刺球员断走斜传小卢卡斯回传，                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
81'皮球被防守球员解围                   78'热刺第78分钟打破僵局，埃里克森传球禁区右侧，孙兴慜底线上迂回，在晃过德尔夫后小禁区右上角外低射破门
