2'切沃球员卡斯特罗拼抢犯规,对手获得控球权.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
2'阿莱士-桑多罗为尤文图斯在左路,赢得一个任意球.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
4'卡斯特罗为切沃赢得一个任意球.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
4'尤文图斯球员斯图若多拼抢犯规,对手获得控球权.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
4'博努奇将球处理出底线,切沃获得角球.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
5'切沃球员卡斯特罗拼抢犯规,对手获得控球权.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
5'马尔基西奥为尤文图斯赢得一个任意球.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
5'梅吉奥里尼为切沃赢得一个任意球.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
5'尤文图斯球员佩雷拉拼抢犯规,对手获得控球权.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
5'进球啦！！！切沃球员哈特马吉大禁区外右脚射门,球从右下角飞进球门,球进了! 尤文图斯 0-1 切沃.                   2'切沃前2轮连胜，意甲24次对阵尤文仅1胜(2010年1月)，但开场仅5分钟，飞驴就客场领先
57'尤文图斯球员佩雷拉大禁区右侧右脚射门,命中门柱右侧立柱.给他传球的是迪巴拉.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
57'尤文图斯球员博格巴大禁区中央右脚射门,被防守球员封堵.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
57'尤文图斯球员迪巴拉大禁区中央尝试左脚射门,可惜皮球偏出球门.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
58'切沃甘贝里尼受伤倒地,比赛暂停                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
58'暂停结束,球员们重新开始比赛.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
58'切沃换人,达伊内利上,甘贝里尼因伤下场.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
60'N-弗雷为切沃在右路,赢得一个任意球.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
60'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   57'尤文第57分钟几乎追平，迪瓦拉传球，佩雷拉禁区右侧转身射门击中近门柱
62'切沃球员B-塞萨尔拼抢犯规,对手获得控球权.                   62'第62分钟，帕洛斯基开出任意球，策扎尔将球打进，但被判对博努奇犯规在先，进球无效
62'博努奇为尤文图斯赢得一个任意球.                   62'第62分钟，帕洛斯基开出任意球，策扎尔将球打进，但被判对博努奇犯规在先，进球无效
65'尤文图斯换人,Juan Cuadrado换下斯图若多                   62'第62分钟，帕洛斯基开出任意球，策扎尔将球打进，但被判对博努奇犯规在先，进球无效
83'进球啦！！！尤文图斯球员迪巴拉左脚射门,球从右上角飞进球门,球进了! 尤文图斯 1-1 切沃.                   83'第83分钟，夸德拉多禁区右侧面对策扎尔铲球倒地，主裁判圭达没有中断比赛，但在底线裁判提示下吹罚点球
84'佩佩为切沃在右路,赢得一个任意球.                   83'第83分钟，夸德拉多禁区右侧面对策扎尔铲球倒地，主裁判圭达没有中断比赛，但在底线裁判提示下吹罚点球
84'尤文图斯球员阿莱士-桑多罗拼抢犯规,对手获得控球权.                   83'第83分钟，夸德拉多禁区右侧面对策扎尔铲球倒地，主裁判圭达没有中断比赛，但在底线裁判提示下吹罚点球
86'尤文图斯球员Juan Cuadrado大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是佩雷拉.                   83'第83分钟，夸德拉多禁区右侧面对策扎尔铲球倒地，主裁判圭达没有中断比赛，但在底线裁判提示下吹罚点球
