21'进球啦！！！切塞纳球员普尔泽蒂大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是德福雷尔. 帕尔马 0-1 切塞纳.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
23'帕尔马球员洛迪大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马奥利.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
23'诺切里诺为帕尔马在左路,赢得一个任意球.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
23'切塞纳球员乔尔吉拼抢犯规,对手获得控球权.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
24'罗德里格斯为帕尔马在对方半场,赢得一个任意球.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
24'切塞纳球员卡希奥尼拼抢犯规,对手获得控球权.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
24'黄牌！切塞纳球员卡希奥尼因为恶意犯规,被主裁判出示黄牌.                   21'客队第21分钟意外领先，普尔泽蒂弧线球入远角
89'卡佐拉为切塞纳在右路,赢得一个任意球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
89'帕尔马球员戈比拼抢犯规,对手获得控球权.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
89'进球啦！！！切塞纳球员A-罗德里格斯大禁区中央右脚射门,球从中路偏上飞进球门,球进了! 帕尔马 1-2 切塞纳.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
90'+2'帕莱塔将球处理出底线,切塞纳获得角球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
90'+3'卡希奥尼为切塞纳在右路,赢得一个任意球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
90'+3'帕尔马球员加洛帕拼抢犯规,对手获得控球权.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
90'+4'帕尔马球员马奥利一脚直塞球给卡萨诺,但是边裁举旗显示后者已经越位.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
90'+5'下半场结束,帕尔马 1-2 切塞纳                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀
66'射门!!!切塞纳球员卡希奥尼大禁区外右脚射门,被对方守门员横身扑出.                   66'客队第21分钟意外领先，普尔泽蒂弧线球入远角
67'帕尔马球员帕莱塔右脚射门,被防守球员封堵.                   66'客队第21分钟意外领先，普尔泽蒂弧线球入远角
68'切塞纳球员久里奇大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是乔尔吉.                   66'客队第21分钟意外领先，普尔泽蒂弧线球入远角
69'帕尔马球员瓦雷拉大禁区中央左脚射门,被防守球员封堵.给他传球的是诺切里诺.                   66'客队第21分钟意外领先，普尔泽蒂弧线球入远角
69'帕尔马球员卡萨尼大禁区外右脚射门,被防守球员封堵.                   66'客队第21分钟意外领先，普尔泽蒂弧线球入远角
89'卡佐拉为切塞纳在右路,赢得一个任意球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
89'帕尔马球员戈比拼抢犯规,对手获得控球权.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
89'进球啦！！！切塞纳球员A-罗德里格斯大禁区中央右脚射门,球从中路偏上飞进球门,球进了! 帕尔马 1-2 切塞纳.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
90'+2'帕莱塔将球处理出底线,切塞纳获得角球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
90'+3'卡希奥尼为切塞纳在右路,赢得一个任意球.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
90'+3'帕尔马球员加洛帕拼抢犯规,对手获得控球权.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
90'+4'帕尔马球员马奥利一脚直塞球给卡萨诺,但是边裁举旗显示后者已经越位.                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
90'+5'下半场结束,帕尔马 1-2 切塞纳                   89'第89分钟，布里恩扎开出任意球，亚历杭德罗-罗德里格斯半凌空抽射上演绝杀，帕尔马主帅多纳多尼面色铁青，在场边打出手势，指责本方后卫
