6'切尔西赢得了有路的角球机会                   3'3分钟后，莫拉塔禁区右侧小角度射门被贝戈维奇没收
6'角球开出来，短角球到禁区，险些赢得进球                   3'3分钟后，莫拉塔禁区右侧小角度射门被贝戈维奇没收
31'伯恩茅斯反击打得有声有色                   31'伯恩茅斯第31分钟错过机会，里科左路传中，无人防守的威尔逊10码处垫射高出
31'科瓦切奇禁区内转身抽射被后卫挡出                   31'伯恩茅斯第31分钟错过机会，里科左路传中，无人防守的威尔逊10码处垫射高出
31'坎特禁区内调整多了一点，失误了                   31'伯恩茅斯第31分钟错过机会，里科左路传中，无人防守的威尔逊10码处垫射高出
34'伯恩茅斯传球到禁区，库克头球后蹭，科帕把球没收                   31'伯恩茅斯第31分钟错过机会，里科左路传中，无人防守的威尔逊10码处垫射高出
34'上赛季，伯恩茅斯是英超的逆转王                   31'伯恩茅斯第31分钟错过机会，里科左路传中，无人防守的威尔逊10码处垫射高出
72'切尔西传球到禁区，吕迪格头球攻门偏出右侧立柱                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
72'进球了！！！！佩德罗！！！！                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
72'佩德罗是切尔西本赛季头号得分手！！！！                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
73'中路的快速推进，吉鲁给了佩德罗，后者禁区线上射门直接打中球门左侧！！！                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
73'佩德罗本赛季已经进了3个球了！！！！                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
75'伯恩茅茨要加大进攻的投入了！现在落后一球，只有死拼了                   72'切尔西第72分钟打破僵局，佩德罗同吉鲁踢墙配合后禁区弧内晃过阿克射入左下角
85'比赛进行到了84分钟                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
85'进球了！！！！阿扎尔！！                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
86'阿隆索与阿扎尔左路禁区内配合，阿扎尔突然起速，后者拿球推射命中！！！！                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
87'阿扎尔又来了                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
87'若日尼奥正面来一脚远射，打高了                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
87'切尔西主教练萨利也放心了                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
88'伯恩茅斯准备换上库克                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
88'撤下了哥伦比亚后腰莱尔马                   85'切尔西第85分钟扩大比分，阿扎尔传球，阿隆索直传，阿扎尔摆脱防守在小禁区左上角外斜射入网，2-0
