2'上海上港队的进攻赢得一个角球机会，开到禁区内，第一点被对方抢到顶出来                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
2'角球再开到前点，杨智把球打出来                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
2'北京国安队断球快速打反击，伊尔马兹传球失误了～                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
5'上海上港队中场控球，埃尔克森横向盘带被侵犯了                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
5'金周荣失误～对方断球反击人，伊尔马兹得球推进横传球被王燊超给拦截！好险！                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
9'北京国安队的进攻赢得一个角球机会，发战术角球                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
9'伊尔马兹转移球给张稀哲，再传中，直接出了底线                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
9'颜骏凌开球门球                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
10'中场张稀哲把球拿下来，直传球交给伊尔马兹，再转移到周挺的脚下                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
10'李磊控球，再转移球被蔡慧康给破坏出来                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
11'北京国安队界外球掷到场内，谢尔盖耶夫传中，于大宝得球晃过防守地滚球打门，划门而过                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
12'上海上港队中场控球，中路的斜长传，武磊前插，球传到了身后                   9'第9分钟国安从右路进攻，孙祥退得过深，于大宝轻松推入禁区，面对孙祥于大宝晃动几下后果然射门，但皮球擦柱而出
21'上海上港队后场得球，李磊倒地把球从埃弗拉的脚下铲出边线                   21'第21分钟石柯得球后长传，雷腾龙在本方禁区内成功拦截住武磊
21'蔡慧康控球，转移给金周荣，再交回到蔡慧康的脚下，直塞球埃尔克森没有拿住，球被断了                   21'第21分钟石柯得球后长传，雷腾龙在本方禁区内成功拦截住武磊
23'上海上港队边路起球，武磊倒地打门被杨智没收了                   21'第21分钟石柯得球后长传，雷腾龙在本方禁区内成功拦截住武磊
24'傅欢传中球被门将没收                   21'第21分钟石柯得球后长传，雷腾龙在本方禁区内成功拦截住武磊
30'北京国安队任意球由张稀哲来主罚，吊向禁区内，谢尔盖耶夫后点得球，裁判哨响，越位～                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
30'比赛进行30分钟了，场上比分没有发生变化！                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
31'周挺传球被埃弗拉给断了下来！                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
31'胡尔克控球被侵犯了！伊尔马兹犯规！                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
31'上海上港队获得前场的任意球机会，胡尔克来主罚，直接打门球打在拉尔夫身上弹回来                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
32'胡尔克拉人犯规                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
32'北京国安队控球反击，球转移到左侧，李磊推进球被傅欢给破坏出来                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
33'界外球掷到场内，李磊头球顶下来，谢尔盖耶夫跟上打门，金周荣舍身堵枪眼！                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
33'周挺再打门被挡出底线                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
33'张稀哲来主罚角球，开到禁区内，颜骏凌飞身把球摘下来                   30'第30分钟伊尔马兹后场防守时拉倒胡尔克，但胡尔克左脚射门打人墙里弹出
31'周挺传球被埃弗拉给断了下来！                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
31'胡尔克控球被侵犯了！伊尔马兹犯规！                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
31'上海上港队获得前场的任意球机会，胡尔克来主罚，直接打门球打在拉尔夫身上弹回来                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
32'胡尔克拉人犯规                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
32'北京国安队控球反击，球转移到左侧，李磊推进球被傅欢给破坏出来                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
33'界外球掷到场内，李磊头球顶下来，谢尔盖耶夫跟上打门，金周荣舍身堵枪眼！                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
33'周挺再打门被挡出底线                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
33'张稀哲来主罚角球，开到禁区内，颜骏凌飞身把球摘下来                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
34'颜骏凌手抛球发动进攻，快速的推进，转移给胡尔克，再转移球到右侧                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
