3'卡瓦尼没有拿到球                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
3'塞尔吉-罗伯托中场控球稳一下                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
3'拉比奥特中场侧后方铲球犯规                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
3'拉比奥特得到一张黄牌！                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'今天的比赛黄牌来的有些早                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'巴萨前场左路的任意球                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'任意球做了一个配合                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'梅西将球给到禁区                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'第一点被大巴黎解围                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'巴黎圣日耳曼的反击                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
4'中场挑传身后                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
5'特尔施特根冲出禁区后先将球解围                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
5'这次的出击非常的及时                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
5'大巴黎已经有三点在包抄了                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'大巴黎斜传到禁区                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'卡瓦尼停球后晃开防守                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'再打的时候被后卫封住角度                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'禁区内德拉克斯勒还有机会                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'兜射没有压住                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
6'大巴黎斜传到禁区                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
6'卡瓦尼停球后晃开防守                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
6'再打的时候被后卫封住角度                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
6'禁区内德拉克斯勒还有机会                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
6'兜射没有压住                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
7'巴黎圣日耳曼打得比较兴奋                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
