3'常飞亚右路强突                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
3'泰达几名防守球员联合防守将球破坏                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
3'富力右路起球送中路                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
3'泰达队先将球破坏出了禁区                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
3'姜至鹏前场突破未果                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
4'泰达的反击机会                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
4'泰达将球转移到了左路                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
4'安德烈奇尼奥突破被放倒                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
4'泰达进球了！！                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
5'周海滨！！                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
5'朱宝杰后场的拼抢也是造成了自己的犯规                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
6'泰达任意球快发，直塞送禁区里，瓦伦西亚带球晃过门将到了底线，在低平球横敲到后点，周海滨推射破门！                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
6'富力在丢球后，也是找裁判理论，估计是因为朱宝杰受伤倒地后，泰达任意球快开有异议                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
8'唐淼右路起球送禁区中路                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
8'泰达先头球顶出来                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
8'这球，阿隆这点没有去抢                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
9'泰达后场防守犯规                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
9'富力前场左路任意球                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
9'朴钟佑任意球送禁区前点                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
9'第一点还是泰达将球解围出来                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
10'富力前场界外球掷出来，禁区前沿，朱宝杰世界波稍稍打高                   7'第7分钟，朴钟佑任意球开到禁区，宗垒出击将球高高摘下
13'安德烈奇尼奥前场拿球分边                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'队友做球给到底线                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'安德烈奇尼奥传中被张耀坤挡出边线                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'泰达右路突破到了底线                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'倒三角传回到大禁区线上                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'周海滨不做调整直接打门，这球稍稍打偏                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
13'泰达今天机会挺多                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
14'唐淼右路突破没有机会                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
14'富力将球转移到了左路                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
