1'上半场比赛开始！                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
1'尤文率先中圈开球                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
1'基耶利尼挑传找略伦特，被断                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
1'帕尔马右路反击，杰扎尔传中没有人争到点                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
2'戈比中场阻挡犯规                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
2'佩雷拉和戈比的拼抢中，碰撞到了戈比的鼻子                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
2'戈比躺在地上接受治疗                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
3'鼻子这酸爽，好在没有大碍                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
3'比赛继续                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
3'帕多因左路拿球直塞禁区                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
4'斯图拉罗插上，拼身体被扛倒，裁判没有表示                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
4'尤文右路配合到底线前，拿到一个角球                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
43'斯图拉罗突破到禁区前，分球找科曼被破坏                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
43'贝尔福迪后场拿球摆脱                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
44'科曼接应队友斜传进禁区，小角度打门被米兰特挡出底线，角球                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
44'角球到小禁区，直接被米兰特没收                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
45'略伦特禁区前背身做球，门德斯出脚解围                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
45'马尔基西奥前场顶防的拦截犯规                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
45'裁判黄牌警告了马尔基西奥                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'上半场补时1分钟！                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'贝尔福迪右边路带球，边裁示意出界了                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'下半场比赛开始！                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'帕尔马中圈开球                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'比达尔中场和诺切里诺争顶                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
46'佩雷拉拿球往左路转移                   43'第43分钟，比达尔塞球，科曼禁区左侧突破包夹，左脚小角度射门被米兰特封出底线
60'科曼右路让球转身，被戈比拉拽                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
60'帕尔马进球了！！！                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
