5'卡斯卡特将球处理出底线,西汉姆联获得角球.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
5'进球啦！！！西汉姆联球员Michail Antonio大禁区中央头球,球从中路飞进球门,球进了!助攻的是帕耶. 西汉姆联 1-0 沃特福德.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
6'霍莱巴斯为沃特福德赢得一个任意球.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
6'西汉姆联球员扎乍拼抢犯规,对手获得控球权.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
8'沃特福德球员伊格哈罗大禁区中央左脚射门,被防守球员封堵.给他传球的是佩雷拉.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
8'马苏库将球处理出底线,沃特福德获得角球.                   5'第5分钟，帕耶开出角球，安东尼奥8码处头球破门
51'雷德将球处理出底线,沃特福德获得角球.                   49'沃特福德连入4球逆转，第41分钟，卡普埃传球，伊格哈洛切入禁区左侧12码处低射破门
52'沃特福德球员卡普埃拼抢犯规,对手获得控球权.                   49'沃特福德连入4球逆转，第41分钟，卡普埃传球，伊格哈洛切入禁区左侧12码处低射破门
52'库亚特为西汉姆联赢得一个任意球.                   49'沃特福德连入4球逆转，第41分钟，卡普埃传球，伊格哈洛切入禁区左侧12码处低射破门
53'进球啦！！！沃特福德球员卡普埃大禁区左侧左脚射门,球从左上角飞进球门,球进了!助攻的是佩雷拉. 西汉姆联 2-3 沃特福德.                   53'第53分钟，佩雷拉传中，卡普埃禁区左侧12码处凌空抽射入近角
56'沃特福德球员Troy Deeney拼抢犯规,对手获得控球权.                   53'第53分钟，佩雷拉传中，卡普埃禁区左侧12码处凌空抽射入近角
56'库亚特为西汉姆联赢得一个任意球.                   53'第53分钟，佩雷拉传中，卡普埃禁区左侧12码处凌空抽射入近角
