17'裁判给了巴萨后场定位球                   17'第17分钟，桑切斯传球，特略禁区前射门高出
17'小法继续回撤来接球                   17'第17分钟，桑切斯传球，特略禁区前射门高出
17'今天小法出任梅西的中路位置                   17'第17分钟，桑切斯传球，特略禁区前射门高出
17'蒂亚戈把球挑入禁区~                   17'第17分钟，桑切斯传球，特略禁区前射门高出
17'桑切斯没有越位~                   17'第17分钟，桑切斯传球，特略禁区前射门高出
18'但是他一犹豫对方后卫包抄上来，没机会传中或者射门了                   17'第17分钟，桑切斯传球，特略禁区前射门高出
18'特略~接到了队友的横敲，禁区外起脚远射，球打高了                   17'第17分钟，桑切斯传球，特略禁区前射门高出
18'桑切斯还是没感觉                   17'第17分钟，桑切斯传球，特略禁区前射门高出
19'罗德里边路传中，宋把球拦截下来                   17'第17分钟，桑切斯传球，特略禁区前射门高出
19'巴萨转入反击                   17'第17分钟，桑切斯传球，特略禁区前射门高出
19'桑切斯在右路，越位了吧                   17'第17分钟，桑切斯传球，特略禁区前射门高出
19'毫厘之间啊，看起来只比对方后卫稍稍越出一点点                   17'第17分钟，桑切斯传球，特略禁区前射门高出
20'因为缺少梅西，巴萨在场上就少了一个可以突破打破平衡的人                   17'第17分钟，桑切斯传球，特略禁区前射门高出
20'而桑切斯跟特略虽然都有突破的活儿，但是相比梅西来说还是差了很多                   17'第17分钟，桑切斯传球，特略禁区前射门高出
20'莫维拉~边路插上，一脚打门击中了蒙托亚的腿部，角球                   17'第17分钟，桑切斯传球，特略禁区前射门高出
20'因为缺少梅西，巴萨在场上就少了一个可以突破打破平衡的人                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
20'而桑切斯跟特略虽然都有突破的活儿，但是相比梅西来说还是差了很多                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
20'莫维拉~边路插上，一脚打门击中了蒙托亚的腿部，角球                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
21'迈阿密郑秀器:柠檬，，热火赢了你高兴么？大科尔逆天呢---额，当然高兴                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
21'蒂亚戈~~~                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
21'Goooooooooooal~~~                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
22'巴萨利用一次反击~由蒂亚戈取得了进球                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
