3'卡萨诺直接射门，打近角滑出了底线。                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
3'米兰获得了前场界外球，打回后场耐心组织。                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
4'巴神也是回撤的很远啊，几乎都要过了中场了。                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
4'看台上有很多日本球迷，可惜西多夫似乎不喜欢本田啊~                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
5'巴神在前场丢球了，帕尔马的反击长传找卡萨诺被阿比亚蒂解围了。                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
5'帕尔马后场断球了，右边卡萨尼推进，                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
5'这边出现了险情！                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
5'阿比亚蒂被红牌罚下！！                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
6'卡萨尼直塞找谢洛托，在禁区里直接被阿比亚蒂拉倒了！                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
15'蒙托利沃自己盘带想过人被断球了，少一个人也是略势很大！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
15'孙栗楠 :卡卡。你是我唯一的希望了。(22:17)----虽然卡卡不是当年的卡卡，但是依旧有很大的杀伤力！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
16'卡萨尼右边很关键啊，插上很频繁。                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
16'帕尔马前场逼的很紧，米兰没什么机会。                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
17'帕尔马的边路球员卡萨尼长得好像皮尔洛啊！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
17'Samuel-Milan :这球谁的责任阿　不怪阿比吧　(22:16)---后卫艾玛努尔森漏人                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
17'AC米兰右边进攻，巴神禁区里和波利配合，巴神小角度射门被挡出底线，角球。                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
18'球开出来禁区了混战啊！球集中了门柱！！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
18'巴神的射门打在了立柱上！！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
18'可惜啊，差点就进球了，巴神很郁闷！                   15'AC米兰本赛季联赛前15分钟丢9球，并列意甲首位
17'帕尔马的边路球员卡萨尼长得好像皮尔洛啊！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
17'Samuel-Milan :这球谁的责任阿　不怪阿比吧　(22:16)---后卫艾玛努尔森漏人                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
17'AC米兰右边进攻，巴神禁区里和波利配合，巴神小角度射门被挡出底线，角球。                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
18'球开出来禁区了混战啊！球集中了门柱！！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
18'巴神的射门打在了立柱上！！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
