9'拉莫斯的大范围转移球给到右前场的本泽马                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
9'本泽马拿球转身，球过人不过，劳雷将本泽马挡在了身后                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
10'本泽马身后逼抢，迫使劳雷将球护送出底线，自己也是没控制好，摔倒在地界外                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
10'联赛两连败，安切洛蒂的压力比较大，摄像师开场10分钟，已经给了安切洛蒂不下5次的特写                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
10'据悉皇马高层已经发货，安切洛蒂在皇马的日子不好过了啊                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
12'皇马前场进攻，贝尔右路拿球，强突下底                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
12'贝尔摆脱防守，右脚的传中，C罗头球攻门，球弹地后被卢克斯没收                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
16'胡安弗兰下底传中，卡西利亚斯出击将球拿到                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
16'哎呀，好球，可惜卢克斯发挥太出色                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
17'精彩回放：本泽马禁区内拿球，连续两次扣球，摆脱后斜塞后点，贝尔插上一脚弹射，被卢克斯出击封堵                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
17'这球皇马在拉科的禁区打的相当细                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
18'拉科的前场进攻，赢得右侧角球机会                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
18'角球开出到禁区，卡西利亚斯出击将球拿到                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
19'克罗斯后场拿球，横传给到莫德里奇                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
19'莫德里奇拿球摆脱，结果被断啦                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
19'拉科的反击，右路进攻，法里尼亚底线内切，拉莫斯补防将球破坏出边线                   16'皇马第16分钟错失良机，克罗斯头球摆渡，本泽马禁区边缘内数人包夹下射门偏转，贝尔小禁区前射门被出击的卢克斯神勇扑出
28'皇马继续前场进攻，C罗的右脚打门，被卢克斯没收                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
28'皇马上半场目前的控球率直奔70%啊                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
29'进球啦！！！                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
29'C罗！！！先拔头筹                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
29'阿韦洛亚右路传中，C罗跑动中的甩头攻门，球越过卢克斯划出一道弧线，钻进网窝！！！                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
31'上半场30分钟，皇马客场1-0领先拉科                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
31'本泽马前场拿球，禁区外横切                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
31'禁区弧顶急停，转身直接左脚打门，被卢克斯没收                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
31'这球J罗离本泽马太近了，跑动中对本泽马形成了干扰。。。                   28'第28分钟，摩德里奇传球，C-罗纳尔多30码外远射正入卢克斯下怀
31'上半场30分钟，皇马客场1-0领先拉科                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
31'本泽马前场拿球，禁区外横切                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
31'禁区弧顶急停，转身直接左脚打门，被卢克斯没收                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
31'这球J罗离本泽马太近了，跑动中对本泽马形成了干扰。。。                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
32'贝尔前场右路拿球，横传找本泽马                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
32'本泽马头球摆渡找克罗斯，可惜被拉科球员抢断啦                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
32'拉科的反击，昆卡前场拿球                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
33'昆卡左路横切，和上来逼抢的J罗相撞后倒地                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
33'主裁判并未吹罚犯规，球权到了皇马脚下，现场嘘声四起                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
33'J罗前场拿球，横传给到左侧的马塞洛                    31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
33'马塞洛面对逼抢，再给中间的克罗斯                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
34'皇马继续前场的传倒配合，寻求进攻机会                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
34'J罗前场中路拿球，短传给本泽马                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
34'本泽马再给C罗，C罗背身拿球，回做本泽马，自己摔倒在地                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
34'主裁判并未表示，球权到了拉科球员脚下                   31'第31分钟，摩德里奇传球，本泽马禁区弧边缘劲射又被卢克斯没收
36'J罗！！！                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
36'左脚的一脚世界波啊，弧度相当漂亮                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
37'J罗禁区左上角拿球，无人干扰下，左脚外脚背弧线球，越过卢克斯，贴着横梁下檐飞入网窝！！！                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
38'C罗刚刚的进球，是其加盟皇马后首次在里亚索球场取得进球                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
38'梅顿亚宁前场拿球，面对逼抢，过度给到贝甘蒂尼奥斯                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
39'目前射门方面，皇马已经完成了6脚射门，而拉科的射门数为0                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
39'克罗斯中场拿球，横传给到J罗                   36'皇马第36分钟扩大比分，本泽马左路回传，哈梅斯-罗德里格斯20码处左脚射入右上死角，2-0
51'拉莫斯还被主裁判出示了黄牌警告！！！                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
51'梅顿亚宁主罚，点球命中！！！                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
52'梅顿亚宁助跑，急停，卡西利亚斯扑向了左侧，梅顿亚宁推射球门右侧打进！！！                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
52'皇马中场失误，拉科的反击                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
53'昆卡禁区右上角的起脚，打在后卫身上弹起                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
53'卡西利亚斯站在原地等待球落下，没注意到身后上来的卡瓦莱罗                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
54'差点再次失误啊，好在及时反应过来，将球一打                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
54'再接着争抢中造成对方上来的球员冲撞门将犯规                   51'拉科第51分钟扳回一城，路易斯尼奥传中，昆卡头球攻门，拉莫斯手球犯规被罚黄牌，荷兰中场梅顿贾宁主罚点球命中，1-3
57'皇马失球后，安切洛蒂坐在替补席和助手们商量着                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
57'拉科的前场进攻，右路斜传球到禁区，瓦拉内头球解围                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
