2'迪德朗日球员Danel Sinani拼抢犯规,对手获得控球权.                   1'第1分钟AC米兰连续外围发炮
2'伊瓜因为AC米兰赢得一个任意球.                   1'第1分钟AC米兰连续外围发炮
21'进球啦！！！AC米兰球员库特罗内大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是伊瓜因. AC米兰 1-0 迪德朗日.                   21'AC米兰第21分钟取得领先
39'西米奇将球处理出底线,迪德朗日获得角球.                   39'迪德朗日第39分钟追平，左侧角球开出后，拉索尔特前点头球解围未能顶出禁区，德国中场施托尔茨在门前12米处凌空抽射入左下角，1比1
39'进球啦！！！迪德朗日球员Dominik Stolz大禁区中央右脚射门,球从左下角飞进球门,球进了! AC米兰 1-1 迪德朗日.                   39'迪德朗日第39分钟追平，左侧角球开出后，拉索尔特前点头球解围未能顶出禁区，德国中场施托尔茨在门前12米处凌空抽射入左下角，1比1
42'施内尔为迪德朗日赢得一个任意球.                   39'迪德朗日第39分钟追平，左侧角球开出后，拉索尔特前点头球解围未能顶出禁区，德国中场施托尔茨在门前12米处凌空抽射入左下角，1比1
42'AC米兰球员库特罗内拼抢犯规,对手获得控球权.                   39'迪德朗日第39分钟追平，左侧角球开出后，拉索尔特前点头球解围未能顶出禁区，德国中场施托尔茨在门前12米处凌空抽射入左下角，1比1
49'迪德朗日球员Edisson Jordanov大禁区外左脚射门,被防守球员封堵.                   49'下半时开始4分钟，迪德朗日反超比分
49'进球啦！！！迪德朗日球员David Turpel大禁区右侧右脚射门,球从左下角飞进球门,球进了! AC米兰 1-2 迪德朗日.                   49'下半时开始4分钟，迪德朗日反超比分
50'AC米兰贝尔托拉奇受伤倒地,比赛暂停                   49'下半时开始4分钟，迪德朗日反超比分
51'暂停结束,球员们重新开始比赛.                   49'下半时开始4分钟，迪德朗日反超比分
52'迪德朗日球员Dominik Stolz大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Danel Sinani.                   49'下半时开始4分钟，迪德朗日反超比分
52'AC米兰换人,苏索换下哈里洛维奇                   49'下半时开始4分钟，迪德朗日反超比分
66'射门!!!AC米兰球员马奥利大禁区外右脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   66'AC米兰第66分钟追平
66'迪德朗日球员斯泰尔维奥自摆乌龙,AC米兰 2-2 迪德朗日                   66'AC米兰第66分钟追平
69'迪德朗日球员库图里尔拼抢犯规,对手获得控球权.                   66'AC米兰第66分钟追平
69'西米奇为AC米兰赢得一个任意球.                   66'AC米兰第66分钟追平
49'迪德朗日球员Edisson Jordanov大禁区外左脚射门,被防守球员封堵.                   49'AC米兰4分钟后反超
49'进球啦！！！迪德朗日球员David Turpel大禁区右侧右脚射门,球从左下角飞进球门,球进了! AC米兰 1-2 迪德朗日.                   49'AC米兰4分钟后反超
50'AC米兰贝尔托拉奇受伤倒地,比赛暂停                   49'AC米兰4分钟后反超
51'暂停结束,球员们重新开始比赛.                   49'AC米兰4分钟后反超
52'迪德朗日球员Dominik Stolz大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Danel Sinani.                   49'AC米兰4分钟后反超
52'AC米兰换人,苏索换下哈里洛维奇                   49'AC米兰4分钟后反超
77'迪德朗日球员Marc-André Kruska拼抢犯规,对手获得控球权.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
77'库特罗内为AC米兰在左路,赢得一个任意球.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
77'迪德朗日球员施内尔自摆乌龙,AC米兰 4-2 迪德朗日                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
79'Edisson Jordanov为迪德朗日赢得一个任意球.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
79'AC米兰球员库特罗内拼抢犯规,对手获得控球权.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
80'AC米兰换人,博里尼换下库特罗内                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
80'迪德朗日换人,肯尼亚换下Dominik Stolz                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
80'射门!!!AC米兰球员恰尔汉奥卢大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏索.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
80'进球啦！！！AC米兰球员博里尼球门线跟前左脚射门,球从左下角飞进球门,球进了! AC米兰 5-2 迪德朗日.                   77'迪德朗日第77分钟再度乌龙，恰尔汉奥卢左路任意球斜传， 西米奇前点受到库图里尔盯防倒地，施内尔冲顶解围顶入本队网窝，4比2
80'AC米兰换人,博里尼换下库特罗内                   80'AC米兰第80分钟锦上添花，苏索右路左脚斜传，恰尔汉奥卢前点距门7米处扫射击中横梁，博里尼后点胸部停球，在门前4米处左脚抽射入近角，5比2
