6'进球啦！！！亚特兰大球员巴塞利大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是皮尼利亚. 巴勒莫 0-1 亚特兰大.                   5'第5分钟，客队巴塞利低射得分
7'巴勒莫球员康斯坦特拼抢犯规,对手获得控球权.                   5'第5分钟，客队巴塞利低射得分
7'德拉梅为亚特兰大在左路,赢得一个任意球.                   5'第5分钟，客队巴塞利低射得分
43'巴勒莫球员康斯坦特球门线跟前尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是夸森.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
43'进球啦！！！巴勒莫球员巴斯克斯小禁区右侧头球,球从右下角飞进球门,球进了!助攻的是康斯坦特. 巴勒莫 1-2 亚特兰大.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
44'皮尼利亚为亚特兰大在对方半场,赢得一个任意球.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
44'巴勒莫球员维迪耶罗拼抢犯规,对手获得控球权.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
45'+1'巴勒莫球员巴斯克斯手球犯规,对手获得球权.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
45'+2'上半场结束,巴勒莫 1-2 亚特兰大,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
45'亚特兰大换人,西加里尼换下巴塞利                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
46'亚特兰大球员米利亚乔拼抢犯规,对手获得控球权.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
46'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
46'巴勒莫球员加拉洛一脚直塞球给康斯坦特,但是边裁举旗显示后者已经越位.                   43'第43分钟，巴斯克斯后点头球扳回一分，1比2
56'亚特兰大球员阿拉莫夫犯规,致使对方获得点球.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
56'点球,巴斯克斯在禁区内被侵犯,巴勒莫获得点球.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
56'裁判将亚特兰大的阿拉莫夫直接红牌罚下.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
57'亚特兰大换人,弗雷佐里尼换下M-达力桑德罗                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
58'巴勒莫球员Penalty missed! Still  Palermo 1, Atalanta 3. Andrea Belotti右脚射门,命中门柱横梁.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
58'巴勒莫球员夸森大禁区中央尝试右脚射门,可惜皮球高出右上角球门.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
59'巴勒莫换人,达普雷拉换下Achraf Lazaar                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
59'皮尼利亚为亚特兰大在左路,赢得一个任意球.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
59'巴勒莫球员巴斯克斯拼抢犯规,对手获得控球权.                   56'第56分钟，亚特兰大门将阿夫拉莫夫在禁区内晃过巴斯克斯，但随即放到了回身反抢的巴斯克斯，结果被红牌罚下，老门将弗雷佐利尼被红牌罚下，贝洛蒂主罚点球却击中横梁
