1'黄烨军哨响，比赛开始了                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
1'这是双方历史上的首次交锋                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
1'华夏开球，从左侧向右侧进攻                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
1'申花则是从画面右侧向左侧进攻                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
2'华夏开场敲山震虎，李行外围左侧的远射，打高                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
2'申花中场传递失误                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
2'华夏中路反击，直塞给热鸟                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
2'热鸟加速突破，秦升关键的铲抢，把球断下                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
3'华夏前场就地的反抢，左侧李行交到禁区前沿，热鸟在给右路拉维奇                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
3'禁区内拉维奇倒地了，柏佳骏有个拉人动作                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
3'但裁判没有吹罚                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
3'比赛刚刚开始双方就打出高潮了                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
4'左路柏佳骏套边，下到底线，传中进去                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
4'太靠近门将被杨程没收                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
4'左路华夏的快速进攻，传中被吕征挡出底线                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
4'角球开出，第一点莫雷诺解围，边线球                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
9'右路吕征突破，内切之后斜吊禁区内，半高球送入禁区，居吕姆抬腿一垫形成吊射，吊入后角                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
9'居吕姆本赛季已经两个乌龙了，第一轮他就打入乌龙，但随后将功补过打入一球扳平                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
9'申花再拿点球，，，，                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
9'哇塞，高潮来的太快了                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
11'华夏后卫线罗森文拿球，有些玩火，结果曹赟定一个加速把球断下，单刀直入禁区，居吕姆补位过来，铲翻对手                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
11'居吕姆还吃到黄牌                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
11'莫雷诺主罚，骗开杨程，推射左上角。。死角入网                   8'场内球迷欢呼声还未停止，第二个进球又来到，第8分钟，罗森文在本方后场传球力量偏轻，被反应敏捷的曹赟定截球冲击，曹杀入禁区时被居吕姆从侧铲翻，点球加黄牌
