45'特谢拉前场摆脱，分右路                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'上半场补时1分钟                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'埃德尔进禁区                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'苏宁进球了！！                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'特谢拉                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'埃德尔右路拼抢柏佳骏进禁区，传中，特谢拉头球破门                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'苏宁半场结束前1-0领先了                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
47'上半场比赛结束                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'下半场比赛开始                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'苏宁中圈开球                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'孙世林把球分右路，杨笑天解围                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
46'罗梅罗斜传左路，被周云顶出                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
47'周云右路起球，大了                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
47'李帅解围出边线                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
49'特谢拉左路做球，徐友刚解围出边线                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
49'连续的边路拼抢                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
49'瓜林中场拦截，脚下打滑                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'左路曹赟定拿球，传中                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'两点包抄都没跟上                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'申花进球了！！                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'登巴巴！！！                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'球打回到左路，瓜林进禁区下底横扫门前，登巴巴铲射破门                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
