1'上半场比赛开始了，纽卡首先开球                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
1'纽卡斯尔右路的边线球掷到前场，连续的边线球                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
2'阿森纳后场挡下蒂奥特的远射发动快速反击                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
2'很快通过中场，张伯伦禁区外一脚右脚斜射偏出远门柱                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
3'纽卡斯尔右路的攻势，马尔维奥的传中被挡出边线                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
3'蒂奥特中场拼抢犯规                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
4'沃尔科特右路底线附近试图突破受阻                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
4'阿尔特塔在中场拿球造成对方的犯规                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
4'萨尼亚右路下底传中被科洛奇尼挡下                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
20'奥贝坦左路的传球又大失水准，准确的找到了对方门将斯泽斯尼怀里                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
20'波多尔斯基中场左路拿球送出直塞                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
20'沃尔科特！！！！！！！！！单刀破门！！！！                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
22'波多尔斯基中场左路送出手术刀般的传球，沃尔科特反越位拿球突入禁区，用亨利惯用的得分方式推射远角得分                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
22'镜头也是很快给到了观众席看球的亨利                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
23'确实，这个球进的和以往亨利地带式进球十分相似                   20'阿森纳第20分钟取得领先，波多尔斯基直传，反越位成功的前南安普敦青训球员沃尔科特切入禁区左侧12码处射入远角
37'桑顿左路面对萨尼亚强行下底，不过球先出了底线了                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
