4'卡利朱里为沙尔克04在对方半场,赢得一个任意球.                   1'第1分钟两队拼抢激烈，尽量压缩空间
4'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   1'第1分钟两队拼抢激烈，尽量压缩空间
53'射门!!!沙尔克04球员博格斯塔勒大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是戈雷茨卡.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
53'进球啦！！！多特蒙德球员奥巴梅扬大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是香川真司. 沙尔克04 0-1 多特蒙德.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
54'黄牌！多特蒙德球员奥巴梅扬因为进球后脱衣庆祝,被主裁判出示黄牌.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
55'沙尔克04球员博格斯塔勒拼抢犯规,对手获得控球权.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
55'帕帕斯塔索普洛斯为多特蒙德在对方半场,赢得一个任意球.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
56'本特莱布为沙尔克04赢得一个任意球.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
56'多特蒙德球员帕斯拉克拼抢犯规,对手获得控球权.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
56'皮什切克将球处理出底线,沙尔克04获得角球.                   53'第53分钟，戈雷茨卡右路低传，布格施塔勒在门前8米处转身左脚推射被比尔基没收
74'多特蒙德球员登贝莱大禁区左侧右脚射门,命中门柱右侧立柱.给他传球的是香川真司.                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
74'施梅尔策将球处理出底线,沙尔克04获得角球.                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
75'多特蒙德施梅尔策受伤倒地,比赛暂停                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
76'暂停结束,球员们重新开始比赛.                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
76'香川真司将球处理出底线,沙尔克04获得角球.                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
77'进球啦！！！沙尔克04球员科雷尔大禁区左侧右脚射门,球从左下角飞进球门,球进了!助攻的是戈雷茨卡. 沙尔克04 1-1 多特蒙德.                   74'多特第74分钟几乎扩大比分，香川真司反击传球，登贝莱突入禁区左侧距门12米处推射击中远门柱
47'魏格尔将球处理出底线,沙尔克04获得角球.                   47'补时第2分钟出现争议，巴尔特拉禁区内解围，球弹起击中他右手，但主裁判没给点球，沙尔克强烈抗议，主帅魏因齐尔被罚上看台
47'沙尔克04球员科克一脚直塞球给舒波-莫廷,但是边裁举旗显示后者已经越位.                   47'补时第2分钟出现争议，巴尔特拉禁区内解围，球弹起击中他右手，但主裁判没给点球，沙尔克强烈抗议，主帅魏因齐尔被罚上看台
