1'上半场比赛开始                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
1'首先由切尔西开球，切尔西今天身穿蓝色球衣蓝色短裤                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
1'从球场的右侧向左进攻                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
1'伊万诺维奇右边路直传球找马塔，结果被抢断                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
2'桑德兰的前场进攻，斯瑟格农拿球被路易斯抢断                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
2'切尔西反击，马塔直传球给到阿扎尔                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
2'阿扎尔拿球进入禁区，在对方后卫回防和对方门将出击干扰下倒地啦                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
3'裁判没有表示，桑德兰球员将球解围                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
3'慢镜头显示，阿扎尔这球对方后卫手上有个拉人的动作哦                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
3'桑德兰左路的进攻，边路传中到禁区                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
3'科尔在威克姆之前头球将球解围出禁区                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
4'伊万诺维奇前场右路拿球横拨给到马塔                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
4'马塔拿球禁区右上角和阿扎尔的踢墙配合                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
4'马塔拿球，小禁区右侧端线横传球到门前                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
2'桑德兰的前场进攻，斯瑟格农拿球被路易斯抢断                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
2'切尔西反击，马塔直传球给到阿扎尔                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
2'阿扎尔拿球进入禁区，在对方后卫回防和对方门将出击干扰下倒地啦                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
3'裁判没有表示，桑德兰球员将球解围                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
3'慢镜头显示，阿扎尔这球对方后卫手上有个拉人的动作哦                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
3'桑德兰左路的进攻，边路传中到禁区                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
3'科尔在威克姆之前头球将球解围出禁区                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
4'伊万诺维奇前场右路拿球横拨给到马塔                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
4'马塔拿球禁区右上角和阿扎尔的踢墙配合                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
4'马塔拿球，小禁区右侧端线横传球到门前                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
