3'诺维奇后场逼抢，斯诺德格拉斯的上抢差点成功                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
3'最后球没控制好，自己将球碰出了边线                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
3'伊万后场的过顶长传球到禁区弧顶                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
3'登巴巴胸部停球，给到许尔勒                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
4'许尔勒跟进，迎球一脚抽射，拉迪将球没收                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
4'萨拉赫中圈拿球，豪森上抢犯规                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
5'开局切尔西的进攻火力很猛，特别是许尔勒的前插相当积极                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
5'切尔西中路的过顶球到禁区找登巴巴                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
5'可惜传球过高，球从登巴巴头顶飞出了底线                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
5'伊万后场抢断，横传给到威廉                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
6'威廉拿球摆脱不成，横传给到科尔                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
6'科尔左路拿球强突，变向内切，接着趟球下底                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
6'被回防的诺维奇后卫将球破坏出底线                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
6'切尔西获得左侧角球机会                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
11'结果没看清，队友根本没跑，球直接传出了边线                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
11'诺维奇前场抢断，约翰逊的内切直塞                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
11'奥尔森前插，禁区内准备打门被科尔滑铲解围                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
12'奥尔森这次前插，还有点受伤了，被科尔放铲时带了一下                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
12'威廉左路拿球，强突，转身回传科尔                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
13'科尔顺势一趟，带球强行下底                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
13'科尔左路的传中到门前                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
13'拉迪出击，在登巴巴伸脚打门之前将球揽入怀中                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
14'特里后场分球科尔时差点失误，好在对方的上抢慢了点，球被科尔控制住                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
14'切尔西前场进攻，威廉的强突                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
14'挑传球到禁区找插上的萨拉赫，可惜还是高了                   11'第11分钟，布拉德利-约翰逊直传，马丁-奥尔森突入禁区在阿什利-科尔和特里夹防下捅射后摔倒，裁判同样不予理会
32'切尔西前场进攻再次赢得右侧角球机会                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
32'兰帕德角球开出，第一点再被后卫解围                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
32'许尔勒左路拿球，内切后的起脚打门                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
32'立柱！！！                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
33'许尔勒的打门打在远端立柱上弹回了球场                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
33'施瓦泽的门球，直接开出了边线                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
34'安工花花活力无限 :阿扎尔怎么成替补啦（半主力的阵容，磨合为下赛季准备啦）                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
34'切尔西后场直塞球，特泰脚下打滑                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
35'球到了登巴巴脚下，登巴巴拉球转身，再突                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
