8'罗马前场的撞墙式配合没有打起来                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
9'今天的比赛沙拉维和拉梅拉对决也是比赛的一大焦点                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
9'罗马禁区外围突施冷剑，球被阿梅利亚得到                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
9'沙拉维前场左路突破被铲断                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
9'球还在米兰队脚下                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
9'诺切里诺禁区弧顶接球的时候再次越位了                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
10'沙拉维左路拿球到了禁区内                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
10'回敲给到跟上的队友                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
10'米兰左路的传球被罗马队挡出                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
11'德希利奥右脚的端传被戈伊科切亚得到                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
11'罗马前场反击，托蒂左路低平球送到禁区内                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
17'耶佩斯得到一张黄牌！                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
17'刚刚罗马的进球，耶佩斯在防守当中漏人了                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
17'罗马中场传球出现了失误                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
18'沙拉维单刀被戈伊科切亚扑出啊！！                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
19'精彩回放：罗比尼奥中场得球后妙传沙拉维，沙拉维带球后到了禁区被门将晃了一下失去了重心，戈伊科切亚也是趁势将球扑了出去                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
20'罗比尼奥右路突破被托蒂放倒                   17'AC米兰第17分钟错过扳平机会，布拉德利中场传球失误，安布断球传出，罗比尼奥右肋直传，沙拉维前插接应单刀突入禁区，但他没有直接射门，还想趟过出击的戈伊科切亚，结果被对方将球断下
30'蒙托利沃后场拿球准备往前走的时候被侵犯                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
30'托蒂中场得球挑传米兰身后                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
31'奥斯瓦尔多再追但没有拿到                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
31'罗马又进球了！！                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
31'3-0！！                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
31'拉梅拉！！                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
32'德罗西前场送直塞直插米兰的防守心脏，拉梅拉禁区内得球后在无人看防的情况下大力轰门将球打进！                   30'红狼第30分钟扩大战果，布拉德利前场左路逼抢，德罗西得球直塞禁区左侧，拉梅拉在门前9米处左脚推射入网，3比0
47'德罗西中场传球的时候被罗比尼奥推了一下                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
