1'上半场比赛开始！！！                   1'皇马第1分钟占据主动
2'白衣白裤的皇马，从画面的右侧向左进攻！                   1'皇马第1分钟占据主动
4'皇马前场进攻，赢得中路的任意球机会！                   1'皇马第1分钟占据主动
12'皇马前场再攻，克罗斯送球到禁区                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
12'本泽马背身拿球，面对围抢，脚后跟攻门，被挡出                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
12'华沙军团的前场进攻，吉列尔梅右路拿球                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
13'吉列尔梅内切后回传中路给奥弗奥                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
13'奥弗奥调整一下，右脚抽射远角                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
13'击中立柱弹出，吉列尔梅准备补射                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
13'裁判鸣哨，吉列尔梅的越位在先                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
13'这次进攻可以让皇马的防线紧张一下了啊                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
15'克罗斯中场拿球，分球左侧给马塞洛                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
15'马塞洛内切，横传阿森西奥                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
15'阿森西奥再给马塞洛，马塞洛分球左侧给J罗                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
15'J罗边路传中到禁区，第一点被后卫顶出                   12'华沙莱吉亚第12分钟险些破门，古伊列梅右路突破回传，奥弗伊禁区边缘内劲射憾中左侧立柱内侧弹回
16'1-0！！！贝尔！！！                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
17'达尼洛右路拿球，分球给贝尔，贝尔横切到禁区，摆脱逼抢的赫劳塞克，起脚劲射打进！！                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
18'贝雷斯兹尼奇后场拿球，面对J罗的逼抢                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
18'回传给克泽文斯基，克泽文斯基再给马拉兹                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
18'皇马前场抢断，马塞洛左路拿球                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
18'马塞洛强突后横传给禁区的本泽马                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
19'本泽马背身拿球，回传给C罗                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
19'C罗停球虚晃，没机会，再给左侧马塞洛                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
19'可惜力量轻了点，被回防的赫劳塞克滑铲拦截                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
19'2-0！！！                   16'皇马第16分钟取得领先，达尼洛传球，贝尔切入禁区右侧18码处劲射远角入网
22'拉多维奇！！！                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
22'拉多维奇主罚，助跑骗过纳瓦斯，纳瓦斯扑向自己的右侧，拉多维奇右脚推射打进左侧！！！                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
