5'因为巴萨高层迟迟不愿意与他续约                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
5'都在传他将会返回法国养老，目标就是巴黎圣日耳曼                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
6'莱万特禁区外也是一脚射门，来自阿夸弗雷斯卡！                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
6'球打得太高                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
6'今天这阵容，咱们还是期待小将们的优异表现吧                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
7'莱万特今天这个绿色球衣，看起来很像巴萨上个赛季的客场队服                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
7'莱万特攻左路，巴克罗被阿尔维斯逼出了底线                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
7'阿尔维斯的头发今天染回了黑色...                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
7'本来已经好不容易习惯了金发                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
8'难怪我说找了半天没看到他呢                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
8'巴萨这个后防线堪称奇葩组合                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
8'全是边后卫...                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
8'如此创举，世界足坛独此一家别无分店                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
17'伊涅斯塔往底线抹的时候被西芒踩脚了                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
17'但是这球吹的实在有些勉强                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
17'比利亚点球推射，门将最喜欢的半高球！！！                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
17'被扑了出去，小法补射！！                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
17'球打高了，这也是被门将扑了一下                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
17'巴萨的角球传中没有形成威胁                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
18'加西亚攻到了巴萨的禁区附近，左脚一扣~右脚远射！！球擦着横梁飞出                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
19'小法大范围的转移                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
19'特略~停球有些大，被后卫抢先解围                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
19'小白漂亮的直传~~~                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
20'特略插上没有越位！传中球可惜被后卫解围了                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
20'又是巴萨的角球                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
20'小白现在的传球越来越有大师风范                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
20'巴萨的角球传中...被后卫解围了                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
20'阿比~抢先卡位，挤开阿夸弗雷斯卡！把球抢断了下来                   17'巴萨第17分钟错失良机，伊涅斯塔禁区左侧底线附近被迪奥普绊倒，客队球员表示不满，比利亚主罚点球角度太正被纳瓦斯扑出，法布雷加斯补射也被纳瓦斯扑出
18'加西亚攻到了巴萨的禁区附近，左脚一扣~右脚远射！！球擦着横梁飞出                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
19'小法大范围的转移                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
19'特略~停球有些大，被后卫抢先解围                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
19'小白漂亮的直传~~~                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
20'特略插上没有越位！传中球可惜被后卫解围了                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
20'又是巴萨的角球                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
