22'延边这边获得点球！！！                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
22'斯蒂夫左侧拿球到禁区直接被戴琳踢倒！！                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
22'戴琳这次上抢有些莽撞                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
22'斯蒂夫自己来主罚                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
23'斯蒂夫点球推射右路！！！                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
23'1-0！！！                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
23'王大雷判断对了方向，但是没有将球扑出去                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
23'斯蒂夫这球速度很快角度也很刁                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
23'王大雷这边几乎是要碰到了球                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
48'朴世豪中场拿球控一下                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
49'双方中场休息的时候都进行了人员调整                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
49'延边队这边                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
49'李龙下，金波上！                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
49'山东鲁能这边                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
49'崔巍下，齐天羽上！                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
50'金波边路突破的时候被撞倒                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
50'延边队前场右路的任意球                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
50'距离球门有些远                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
50'任意球也是将球回敲                   48'比赛开始仅3分钟，延边富德斜传球打穿山东鲁能后防线，韩光徽快速插上形成单刀，面对王大雷防守，韩光徽推射近角得手，但边裁举旗示意越位在先
58'延边富德左路低平球给到禁区                   58'第13分钟，张弛边路铲球吃到黄牌
58'后点无人看防推射被王大雷扑了一下                   58'第13分钟，张弛边路铲球吃到黄牌
58'球往门里滚                   58'第13分钟，张弛边路铲球吃到黄牌
58'王大雷第二反应很快将球压在身下                   58'第13分钟，张弛边路铲球吃到黄牌
58'这球也是比较的危险                   58'第13分钟，张弛边路铲球吃到黄牌
60'延边富德前场送直塞到禁区                   58'第13分钟，张弛边路铲球吃到黄牌
60'斯蒂夫接球的时候越位了                   58'第13分钟，张弛边路铲球吃到黄牌
65'鲁能左路送直塞                   64'一直被压制的山东鲁能，直到第19分钟才勉强完成一脚射门，吴兴涵内切远射放了高射炮
65'塔尔德利底线拿球                   64'一直被压制的山东鲁能，直到第19分钟才勉强完成一脚射门，吴兴涵内切远射放了高射炮
65'没有机会转身                   64'一直被压制的山东鲁能，直到第19分钟才勉强完成一脚射门，吴兴涵内切远射放了高射炮
67'现在双方打得有点乱                   64'一直被压制的山东鲁能，直到第19分钟才勉强完成一脚射门，吴兴涵内切远射放了高射炮
67'延边富德这边还没什么机会                   64'一直被压制的山东鲁能，直到第19分钟才勉强完成一脚射门，吴兴涵内切远射放了高射炮
36'鲁能前场做撞墙                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
37'古兹米奇拦截犯规                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
37'受伤的是吴兴涵                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
37'吴兴涵问题应该不大                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
37'队医也是进场看了一下                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
37'古兹米奇得到一张黄牌！                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
38'看看鲁能的任意球                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
38'塔尔德利任意球直接打门                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
38'球被人墙挡了下来                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
39'延边这边反击的机会                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
39'池忠国禁区弧顶远射                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
39'没有压住                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
39'佩莱前场背身拿球没有控制好                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
39'球权还在鲁能的脚下                   36'第36分钟，吴兴涵制造古兹米奇犯规，后者吃到黄牌，山东鲁能获得前场任意球，塔尔德利直接射门弧度不够被人墙挡出
41'鲁能这边也获得点球！！                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
41'边路起球送进去，结果后卫手球了                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
42'塔尔德利来主罚！！                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
42'也是推射右路！！                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
42'1-1！！！                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
42'塔尔德利低射右下角，池文一判断对了方向，但是没有扑到！！                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
43'鲁能中场拿球给到边路                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
43'金敬道上来给到禁区内                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
44'佩莱在后卫的干扰下也是没有打好                   41'第41分钟，张弛边路传中造成姜卫鹏禁区内故意手球，马宁果断判罚点球，塔尔德利操刀主罚命中，场上比分变为1-1平
47'刘洋左路拿球控一下                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
47'鲁能将球给到禁区前沿                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
47'队友回做下来                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
47'塔尔德利跟进抽射将球打偏                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
47'这球还是非常有威胁的                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
48'朴世豪中场拿球控一下                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
49'双方中场休息的时候都进行了人员调整                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
49'延边队这边                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
49'李龙下，金波上！                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
49'山东鲁能这边                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
49'崔巍下，齐天羽上！                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
50'金波边路突破的时候被撞倒                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
