5' 中场附近被巴洛特利放倒                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
5'大巴黎定位球快发                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
5' 尼斯断球，中场巴洛特利拿球                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
6' 大巴黎反击！                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
6'右路直传球往前给！                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
6' 球给的不好， 尼斯后场断球                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
7'往左侧转移， 球传出了边线                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
7' 中场双方拼抢                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
7'尼斯断球反击！                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
8' 禁区左侧勒马尔尚送出传中！                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
8' 巴洛特利头球攻门！击中了立柱啊！                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
14' 大巴黎界外球给回后场控制                   11'第11分钟，卡瓦尼在禁区内在和萨尔的对抗中倒地，裁判没有吹罚点球引起巴黎队员不满，蒂亚戈-席尔瓦上前与裁判交涉未果
14'金庞贝把球分到左侧                   11'第11分钟，卡瓦尼在禁区内在和萨尔的对抗中倒地，裁判没有吹罚点球引起巴黎队员不满，蒂亚戈-席尔瓦上前与裁判交涉未果
14' 尤里回传一下，维拉蒂中路传球                   11'第11分钟，卡瓦尼在禁区内在和萨尔的对抗中倒地，裁判没有吹罚点球引起巴黎队员不满，蒂亚戈-席尔瓦上前与裁判交涉未果
14' 卡瓦尼得球，直接撩射！                   11'第11分钟，卡瓦尼在禁区内在和萨尔的对抗中倒地，裁判没有吹罚点球引起巴黎队员不满，蒂亚戈-席尔瓦上前与裁判交涉未果
14'贝尼特斯把球扑出！                   11'第11分钟，卡瓦尼在禁区内在和萨尔的对抗中倒地，裁判没有吹罚点球引起巴黎队员不满，蒂亚戈-席尔瓦上前与裁判交涉未果
17'阿尔维斯断球，交给右路姆巴佩                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
17'自己带球往前走                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
17'勒马尔尚断球，大脚解围出去                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
