18'博洛尼亚球员波利大禁区右侧尝试右脚射门,可惜皮球偏出球门.给他传球的是奥索里尼.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
18'博洛尼亚球员威尔第大禁区外左脚射门,被防守球员封堵.给他传球的是波利.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
18'博洛尼亚球员纳吉一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
20'博洛尼亚球员奥索里尼拼抢犯规,对手获得控球权.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
20'卡拉为AC米兰赢得一个任意球.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
34'进球啦！！！AC米兰球员恰尔汉奥卢大禁区外右脚射门,球从左下角飞进球门,球进了!助攻的是库特罗内. 博洛尼亚 0-1 AC米兰.                   34'AC米兰第34分钟取得领先
35'AC米兰受伤倒地,比赛暂停                   34'AC米兰第34分钟取得领先
35'(contentious referee decisions)Video Review: Goal. Referee decision on field stands.                   34'AC米兰第34分钟取得领先
35'暂停结束,球员们重新开始比赛.                   34'AC米兰第34分钟取得领先
37'射门!!!博洛尼亚球员姆巴耶小禁区右侧头球,被对方守门员横身扑出.给他传球的是马西纳.                   34'AC米兰第34分钟取得领先
37'多纳鲁马将球处理出底线,博洛尼亚获得角球.                   34'AC米兰第34分钟取得领先
38'博洛尼亚球员帕拉西奥手球犯规,对手获得球权.                   38'第38分钟，维尔迪有路传中制造混乱，帕拉西奥禁区中路拼抢，卡拉布里亚连续解围不远，奥索利尼在点球点左脚半凌空抽射入右上角，他疯狂庆祝本赛季首粒进球，但主裁判贾科梅利到场边观看回放后，认定帕拉西奥手球在先，进球无效
39'AC米兰受伤倒地,比赛暂停                   38'第38分钟，维尔迪有路传中制造混乱，帕拉西奥禁区中路拼抢，卡拉布里亚连续解围不远，奥索利尼在点球点左脚半凌空抽射入右上角，他疯狂庆祝本赛季首粒进球，但主裁判贾科梅利到场边观看回放后，认定帕拉西奥手球在先，进球无效
39'(contentious referee decisions)Video Review: Goal. Referee decision on field cancelled.                   38'第38分钟，维尔迪有路传中制造混乱，帕拉西奥禁区中路拼抢，卡拉布里亚连续解围不远，奥索利尼在点球点左脚半凌空抽射入右上角，他疯狂庆祝本赛季首粒进球，但主裁判贾科梅利到场边观看回放后，认定帕拉西奥手球在先，进球无效
