31'C.京特尔为弗赖堡在左路,赢得一个任意球.                   31'第31分钟，福兰德断球助攻弗朗茨破门
31'霍芬海姆球员鲁迪拼抢犯规,对手获得控球权.                   31'第31分钟，福兰德断球助攻弗朗茨破门
31'进球啦！！！弗赖堡球员弗朗茨大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是菲利普. 霍芬海姆 0-1 弗赖堡.                   31'第31分钟，福兰德断球助攻弗朗茨破门
33'进球啦！！！弗赖堡球员弗朗茨球门线跟前右脚射门,球从右上角飞进球门,球进了!助攻的是施密德. 霍芬海姆 0-2 弗赖堡.                   31'第31分钟，福兰德断球助攻弗朗茨破门
55'射门!!!霍芬海姆球员韦斯特高大禁区外右脚射门,被对方守门员横身扑出.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
55'穆伊扎将球处理出底线,霍芬海姆获得角球.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
55'弗赖堡球员穆伊扎被主裁判出示了一张黄牌.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
56'霍芬海姆球员贝克被主裁判出示了一张黄牌.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
56'霍芬海姆球员鲁迪大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是聚勒.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
57'C.京特尔将球处理出底线,霍芬海姆获得角球.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
57'霍芬海姆球员波兰斯基大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是鲁迪.                   55'第55分钟，尤努西晃过2名后卫打穿裆球入网，1比2
75'黄牌！霍芬海姆球员斯特罗布尔因为恶意犯规,被主裁判出示黄牌.                   75'第75分钟，达里达点球超出，但此后达里达倒钩时踢中施韦格勒面部，虽然两人握手言和，但达里达还是被罚下
75'进球啦！！！弗赖堡球员达里达右脚射门,球从右下角飞进球门,球进了! 霍芬海姆 2-3 弗赖堡.                   75'第75分钟，达里达点球超出，但此后达里达倒钩时踢中施韦格勒面部，虽然两人握手言和，但达里达还是被罚下
77'弗赖堡球员肯普夫拼抢犯规,对手获得控球权.                   75'第75分钟，达里达点球超出，但此后达里达倒钩时踢中施韦格勒面部，虽然两人握手言和，但达里达还是被罚下
77'莫德斯特为霍芬海姆在对方半场,赢得一个任意球.                   75'第75分钟，达里达点球超出，但此后达里达倒钩时踢中施韦格勒面部，虽然两人握手言和，但达里达还是被罚下
