38'冈萨雷斯将球处理出底线,萨索洛获得角球.                   37'第37分钟，拉杜左路距门30米处怒射击中门柱内侧弹进，1比0
38'克洛泽将球处理出底线,萨索洛获得角球.                   37'第37分钟，拉杜左路距门30米处怒射击中门柱内侧弹进，1比0
39'萨索洛球员基布萨一脚直塞球给马纳内利,但是边裁举旗显示后者已经越位.                   37'第37分钟，拉杜左路距门30米处怒射击中门柱内侧弹进，1比0
48'小卡纳瓦罗为萨索洛赢得一个任意球.                   46'1分钟后，阿尔瓦罗-冈萨雷斯前场抢断齐格勒直塞，克洛泽反越位距门12米处左脚推射入网，2比1
48'拉齐奥球员克洛泽拼抢犯规,对手获得控球权.                   46'1分钟后，阿尔瓦罗-冈萨雷斯前场抢断齐格勒直塞，克洛泽反越位距门12米处左脚推射入网，2比1
48'齐格勒为萨索洛在左路,赢得一个任意球.                   46'1分钟后，阿尔瓦罗-冈萨雷斯前场抢断齐格勒直塞，克洛泽反越位距门12米处左脚推射入网，2比1
48'拉齐奥球员冈萨雷斯拼抢犯规,对手获得控球权.                   46'1分钟后，阿尔瓦罗-冈萨雷斯前场抢断齐格勒直塞，克洛泽反越位距门12米处左脚推射入网，2比1
83'萨索洛球员小卡纳瓦罗自摆乌龙,拉齐奥 3-2 萨索洛                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
85'拉齐奥球员拉杜拼抢犯规,对手获得控球权.                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
85'贝拉尔迪为萨索洛赢得一个任意球.                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
85'萨索洛球员贝拉尔迪大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是小卡纳瓦罗.                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
86'拉齐奥球员冈萨雷斯拼抢犯规,对手获得控球权.                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
86'马纳内利为萨索洛赢得一个任意球.                   83'第83分钟，拉杜左路传中在禁区内弹地后击中远门柱弹进，3比2，这是他职业生涯首次梅开二度
