1'上半场比赛开始！                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
1'首先开球的是曼城                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
1'曼联后场控球给到边路                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
1'布林德边路拿球被破坏                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
1'曼城中场控球打到左路                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
2'克里希拿球回敲到后场中路                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
2'曼城这边在转移的时候出界                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
3'阿什利-扬左路传球送禁区内                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
3'曼城禁区内拿到第一点                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
4'曼城左路挑传送左路禁区                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
4'阿圭罗禁区内拿球传中被斯马林封堵                   1'曼城第1分钟积极在雨中展开攻势，纳瓦斯禁区右侧的小角度低射被德赫亚用腿挡出
8'亚亚-图雷停球下来稍作调整再打，被后卫挡出                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
8'曼城进球了！！                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
9'阿圭罗！！                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
9'米尔纳左路拿球给到席尔瓦，席尔瓦禁区内横扫到中路，阿圭罗跟进推射空门球进！                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
10'此时此刻值得来杯嘉士伯                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
10'曼城这段时间攻的很猛，也是收获一粒进球                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
10'看看接下来，曼联要怎么反击                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
10'曼联右侧传球出现失误                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
11'曼城前场又是断球了                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
11'阿圭罗走中路被断                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
11'阿圭罗示意有手球，裁判没吹                   8'曼城第8分钟取得领先，米尔纳直传，席尔瓦禁区左侧传中，德赫亚和曼联防线均未能拦截，阿圭罗近距离打入空门
14'1-1！！！                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
14'阿什利-扬！！                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
15'德赫亚后场大脚打到前场左路，费莱尼碰了一下后给到埃雷拉，埃雷拉左路起球送禁区内，阿什利-扬前点打门被挡，但是阿什利-扬很快转身将球扫射入网！                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
15'此时此刻值得来杯嘉士伯                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
15'曼联在落后5分钟后就将比分扳平                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
16'现场的雨也是渐渐有些变大                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
16'马塔右路拿球被对方拦截                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
16'费尔南迪尼奥中场拿球转移到了右路                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
17'曼城右路拿球给到中路                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
17'埃雷拉的处理球有些危险                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
17'米尔纳左路拿球被斯马林解围                   14'曼联第14分钟扳平，埃雷拉左路传中，克里希封铲皮球却未能解围，阿什利-扬小禁区左侧近距离破门，1-1
67'马塔单刀了！！                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
67'3-1！！                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
68'曼联中场拿球给到鲁尼，鲁尼停球转身给到马塔，马塔杀到禁区内小角度低射破门！                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
68'此时此刻值得来杯嘉士伯                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
68'但慢镜头显示，鲁尼传的这一下，马塔其实是已经越位了                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
69'曼联右路的进攻又上来了                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
69'阿什利-扬左路传球被德米凯利斯用膝盖将球挡了出去                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
69'曼联的角球机会                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
69'角球送中路                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
70'曼城抢到第一落点                   67'曼联第67分钟扩大比分，鲁尼直传，稍有越位嫌疑的马塔突破至小禁区左上角单刀捅射入网，3-1
89'阿圭罗！！                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
90'兰帕德前场送直塞到底线，萨巴莱塔底线传回来到中路，阿圭罗跟进打门球被德赫亚碰了一下后击中立柱内侧弹入球网！                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
90'此时此刻值得来杯嘉士伯                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
90'下半场补时3分钟！                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
91'阿圭罗刚刚的进球应该是为曼城打入的第100球                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
91'曼联这边反击的机会                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
91'迪马利亚禁区外围打远射                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
91'球被哈特给按了下来                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
92'曼城长传打到前场                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
92'阿圭罗这边处在越位的位置上                   89'曼城第89分钟扳回一城，兰帕德直传，萨巴莱塔禁区右侧传中，阿圭罗10码处扫射被德赫亚扑挡后入网，2-4
