1'上半场由恒大率先开球                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'梅方长传上来被李提香拦截                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'姜至鹏长距离直传                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'扎哈维左路高速上来传中过不了梅方                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'姜至鹏控球横传到中路，雷纳尔迪尼奥脚后跟传球失误                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'梅方的直传，姜至鹏断球                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
1'姜至鹏带球，回传给了李提香，交给弋腾                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'转移给唐淼，回传给弋腾，长传被断了                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'保利尼奥控球，在观察                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'交给右路的刘健                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'黄博文直传，郜林停球转身被唐淼卡住身位                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'回传给程月磊，乌索接应分给唐淼                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
2'唐淼直传，肖智越位了                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
3'保利尼奥中场拿球，回传给了黄博文，再交给刘健                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
3'刘健放长传，梅方没有得到                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
3'今天梅方出任恒大的右后卫                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
3'金英权带球交给黄博文                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
3'分给了梅，长传上来，唐淼头球后蹭顶出禁区                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'温家宝得球一扣，被唐淼断下，长传                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'恒大的控球                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'梅方放长传，于汉超没有追上球                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'程月磊开门球，肖智头球摆渡下来                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
