5'射门!!!尤文图斯球员科曼大禁区外右脚射门,被对方守门员横身扑出.                   5'开场5分钟，乌迪内斯回传失误，科曼禁区前沿低射被卡尔内齐斯得到
8'Ali Adnan为乌迪内斯赢得一个任意球.                   5'开场5分钟，乌迪内斯回传失误，科曼禁区前沿低射被卡尔内齐斯得到
8'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   5'开场5分钟，乌迪内斯回传失误，科曼禁区前沿低射被卡尔内齐斯得到
33'射门!!!尤文图斯球员利希施泰纳大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是佩雷拉.                   33'第33分钟，乌迪内斯禁区内解围不干净，佩雷拉右侧回传，利希施泰纳小角度低射被卡尔内齐斯伸腿挡出
33'尤文图斯球员佩雷拉一脚直塞球给利希施泰纳,但是边裁举旗显示后者已经越位.                   33'第33分钟，乌迪内斯禁区内解围不干净，佩雷拉右侧回传，利希施泰纳小角度低射被卡尔内齐斯伸腿挡出
34'乌迪内斯球员赫塔奥拼抢犯规,对手获得控球权.                   33'第33分钟，乌迪内斯禁区内解围不干净，佩雷拉右侧回传，利希施泰纳小角度低射被卡尔内齐斯伸腿挡出
34'科曼为尤文图斯在对方半场,赢得一个任意球.                   33'第33分钟，乌迪内斯禁区内解围不干净，佩雷拉右侧回传，利希施泰纳小角度低射被卡尔内齐斯伸腿挡出
35'黄牌！乌迪内斯球员赫塔奥因为恶意犯规,被主裁判出示黄牌.                   33'第33分钟，乌迪内斯禁区内解围不干净，佩雷拉右侧回传，利希施泰纳小角度低射被卡尔内齐斯伸腿挡出
59'射门!!!尤文图斯球员帕多因大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是科曼.                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
59'射门!!!尤文图斯球员帕多因大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是科曼.                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
59'尤文图斯帕多因受伤倒地,比赛暂停                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
59'尤文图斯帕多因受伤倒地,比赛暂停                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
59'暂停结束,球员们重新开始比赛.                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
59'暂停结束,球员们重新开始比赛.                   58'第58分钟，科曼禁区右侧底线回做，帕多因在门前10米处推射被卡尔内齐斯得到
74'赫塔奥为乌迪内斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'赫塔奥为乌迪内斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'Duván Zapata为乌迪内斯在对方半场,赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'Duván Zapata为乌迪内斯在对方半场,赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
74'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
75'乌迪内斯球员Ali Adnan拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
75'乌迪内斯球员Ali Adnan拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
75'利希施泰纳为尤文图斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
75'利希施泰纳为尤文图斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
76'卡尔内希斯为乌迪内斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
76'卡尔内希斯为乌迪内斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
76'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
76'尤文图斯球员曼祖基奇拼抢犯规,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'乌迪内斯球员P-科内危险动作,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'乌迪内斯球员P-科内危险动作,对手获得控球权.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'帕多因为尤文图斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'帕多因为尤文图斯赢得一个任意球.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'尤文图斯球员巴尔扎利大禁区外尝试右脚射门,可惜皮球高出球门.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
77'尤文图斯球员巴尔扎利大禁区外尝试右脚射门,可惜皮球高出球门.                   74'第74分钟，博格巴回做，埃弗拉左侧禁区边缘左脚撩射被卡尔内齐斯得到
