7'伊涅斯塔直塞，力量有些大                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
7'阿尔巴速度太快了~                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
7'赶在球要出底线前将球救了回来，不过巴萨这次边路配合最终还是出了边线                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
8'镜头对准了佩德罗                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
8'近来传说温格也看上了他                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
8'想要以2500万英镑带到英超                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
8'伊涅斯塔~边路内切之后的射门打得太正了                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
9'马斯切拉诺后场铲抢将球捅走                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
9'布斯克茨~分边右路                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
9'又是给大了一点，苏牙没能将球拿到                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
10'马斯切拉诺长传想找梅西，给得太高了                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
10'今天巴萨的传球失误不少哇                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
10'感觉球员还是非常疲惫的                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
10'布斯克茨给拉基蒂奇的传球又是失误                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
53'科尔多瓦前场配合，有球员越位了                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
53'游客2842: 巴萨的软肋在中场...---哈维老了，小白也不年轻                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
53'苏亚雷斯~~~                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
53'Gooooooooooooooooooal~~~                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
