1'克罗托内球员梅斯巴一脚直塞球给法尔西内利,但是边裁举旗显示后者已经越位.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
1'罗马球员斯特罗特曼拼抢犯规,对手获得控球权.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
1'卡贝奇为克罗托内赢得一个任意球.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
2'克罗托内球员Noe Dussenne一脚直塞球给阿里安度-罗西,但是边裁举旗显示后者已经越位.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
3'卡贝奇为克罗托内赢得一个任意球.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
3'罗马球员哲科拼抢犯规,对手获得控球权.                   1'第1分钟，哲科接应斯特鲁特曼挑传，但被后卫阻截
40'进球啦！！！罗马球员纳因戈兰大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是萨拉赫. 克罗托内 0-1 罗马.                   40'罗马第40分钟取得领先，斯特鲁特曼左侧边线将球送出，纳英戈兰斜插中路分球，萨拉赫右路内切又交给纳英戈兰，纳英戈兰在门前12米处转身低射钻进左下角，1比0，纳英戈兰已追平个人联赛单赛季进球纪录（上赛季35场意甲6球），下半时，斯特鲁特曼点球，萨拉赫禁区右侧射门被科尔达兹封出近角
41'克罗托内球员托内夫大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是阿科斯蒂.                   40'罗马第40分钟取得领先，斯特鲁特曼左侧边线将球送出，纳英戈兰斜插中路分球，萨拉赫右路内切又交给纳英戈兰，纳英戈兰在门前12米处转身低射钻进左下角，1比0，纳英戈兰已追平个人联赛单赛季进球纪录（上赛季35场意甲6球），下半时，斯特鲁特曼点球，萨拉赫禁区右侧射门被科尔达兹封出近角
42'马诺拉斯将球处理出底线,克罗托内获得角球.                   40'罗马第40分钟取得领先，斯特鲁特曼左侧边线将球送出，纳英戈兰斜插中路分球，萨拉赫右路内切又交给纳英戈兰，纳英戈兰在门前12米处转身低射钻进左下角，1比0，纳英戈兰已追平个人联赛单赛季进球纪录（上赛季35场意甲6球），下半时，斯特鲁特曼点球，萨拉赫禁区右侧射门被科尔达兹封出近角
43'法西奥将球处理出底线,克罗托内获得角球.                   40'罗马第40分钟取得领先，斯特鲁特曼左侧边线将球送出，纳英戈兰斜插中路分球，萨拉赫右路内切又交给纳英戈兰，纳英戈兰在门前12米处转身低射钻进左下角，1比0，纳英戈兰已追平个人联赛单赛季进球纪录（上赛季35场意甲6球），下半时，斯特鲁特曼点球，萨拉赫禁区右侧射门被科尔达兹封出近角
77'进球啦！！！罗马球员哲科小禁区左侧右脚射门,球从左下角飞进球门,球进了!助攻的是萨拉赫. 克罗托内 0-2 罗马.                   77'罗马第77分钟扩大比分，萨拉赫右路传中，帕雷德斯拿球挑传，萨拉赫禁区右侧底线传出地滚球，后点包抄的哲科在门前4米处推进空门，2比0，萨拉赫代表罗马51场意甲参与34球（22球，12次助攻）
79'克罗托内球员法尔西内利大禁区左侧左脚射门,被防守球员封堵.给他传球的是阿科斯蒂.                   77'罗马第77分钟扩大比分，萨拉赫右路传中，帕雷德斯拿球挑传，萨拉赫禁区右侧底线传出地滚球，后点包抄的哲科在门前4米处推进空门，2比0，萨拉赫代表罗马51场意甲参与34球（22球，12次助攻）
80'克罗托内球员托内夫大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是克里塞蒂格.                   77'罗马第77分钟扩大比分，萨拉赫右路传中，帕雷德斯拿球挑传，萨拉赫禁区右侧底线传出地滚球，后点包抄的哲科在门前4米处推进空门，2比0，萨拉赫代表罗马51场意甲参与34球（22球，12次助攻）
80'罗马换人,德罗西换下萨拉赫                   77'罗马第77分钟扩大比分，萨拉赫右路传中，帕雷德斯拿球挑传，萨拉赫禁区右侧底线传出地滚球，后点包抄的哲科在门前4米处推进空门，2比0，萨拉赫代表罗马51场意甲参与34球（22球，12次助攻）
