7'迪马利亚右路拿球，利用自己的速度摆脱                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
7'进入禁区，接着趟球下底，力量大了，被回防的巴拉多利德球员控制                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
7'巴拉多利德前场的进攻，古埃拉禁区外直接拔脚怒射打偏                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
8'佩佩中圈位置的争抢被吹犯规                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
8'巴拉多利德进球啦！！！                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
9'皇马后场的失误，被巴拉多利德球员抓住机会，由奥斯卡打进                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
9'奥斯卡前场抢断，右路拿球进入禁区，面对出击的迭戈-洛佩斯一脚斜射打进                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
10'皇马的进攻，C罗接到科恩特朗的传中，倒勾打门，被挡出                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
10'迪马利亚跟上的补射，又被后卫挡出                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
10'开场不到10分钟，皇马就丢球啦，很意外啊                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
9'皇马后场的失误，被巴拉多利德球员抓住机会，由奥斯卡打进                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
9'奥斯卡前场抢断，右路拿球进入禁区，面对出击的迭戈-洛佩斯一脚斜射打进                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
10'皇马的进攻，C罗接到科恩特朗的传中，倒勾打门，被挡出                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
10'迪马利亚跟上的补射，又被后卫挡出                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
10'开场不到10分钟，皇马就丢球啦，很意外啊                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
12'战神巴缔:神马情况皇马丢球了（后场失误被对方反击得手）                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
12'科恩特朗左路拿球强行下底，被鲁卡维纳将球挡出边线                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
12'皇马的进攻，莫德里奇左路拿球，底线内切                   9'第9分钟，科恩特朗禁区左侧传中，C-罗纳尔多点球点附近倒钩打空，迪马利亚14码处左脚抽射高出
46'奥斯卡左路拿球，斜传禁区，迭戈-洛佩斯出击，单拳将球打出边线                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'上半场补时1分钟                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'巴拉多利德前场再组织进攻，佩雷斯的直塞                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'古埃拉得球转身打门，迭戈-洛佩斯将球拿到                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
47'皇马的前场进攻，本泽马的打门被贾梅扑出                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'下半场比赛开始                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'巴拉多利德开球，从左向右进攻                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
46'巴拉多利德左路的进攻，纳乔将球解围出边线                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
47'本泽马和对方球员中圈争顶，人仰马翻，双双倒地                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
47'C罗上半场打进的一球，是他本赛季联赛的第32粒进球                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
48'皇马中场的抢断，迪马利亚边路传中                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
48'本泽马头球一点，赫迪拉跟上凌空打门，放了高射炮                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
48'皇马的进攻再来，卡卡禁区外的打门被贾梅扑出                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
49'下半场开始双方并没有人员上的调整                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
49'卡卡！！！！进球啦！！！                   46'1分钟后，摩德里奇传球，卡卡禁区内射门高出
26'卡卡前场左路拿球，横带后直接拔脚怒射，贾梅奋力将球扑出                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
26'纳乔前场拿球，横传转移球给到上来的卡瓦略                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
