1'好了，主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟占据主动全力施压
1'上半场是由客场作战的巴萨开球                   1'巴萨第1分钟占据主动全力施压
2'巴尔特拉长传转移~                   1'巴萨第1分钟占据主动全力施压
2'球到了佩德罗脚下~                   1'巴萨第1分钟占据主动全力施压
2'逼得了一个角球                   1'巴萨第1分钟占据主动全力施压
2'战术角球开出~                   1'巴萨第1分钟占据主动全力施压
2'阿德的传中直接传到了门将手里                   1'巴萨第1分钟占据主动全力施压
3'两队在上一次交锋中巴萨是在主场4比0获胜                   1'巴萨第1分钟占据主动全力施压
3'现场球迷不断的送上嘘声                   1'巴萨第1分钟占据主动全力施压
3'巴萨前场抢断~                   1'巴萨第1分钟占据主动全力施压
3'梅西~想挑过后卫头顶                   1'巴萨第1分钟占据主动全力施压
4'被门将得到了                   1'巴萨第1分钟占据主动全力施压
4'埃尔切左路直传~                   1'巴萨第1分钟占据主动全力施压
4'巴尔特拉犯规了                   1'巴萨第1分钟占据主动全力施压
4'科罗被撞翻在地                   1'巴萨第1分钟占据主动全力施压
4'还跟角旗杆相撞而受伤                   1'巴萨第1分钟占据主动全力施压
13'所以巴萨今天并不好打啊                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
13'巴萨获得了一个角球                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
13'梅西来主罚~传后点！                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
13'伊涅斯塔~~横梁啊！                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
13'小法的传中被后卫挡了一下                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
13'小法看到了伊涅斯塔~挑过来！                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
14'小白禁区线上抬腿就射！球击中了横梁                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
