2'曼联后场长传 越位在先                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
2'利物浦阿利松把球给到右侧边路球员                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
3'利物浦发起快速进攻 萨拉赫分给禁区右侧的菲尔米诺                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
3'菲尔米诺右脚打门 被门将德赫亚封出底线                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
3'利物浦发出角球 被曼联后卫解围出禁区                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
4'曼联的拉什福德左路边线带球被放倒 前场任意球                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
5'曼联前锋卢卡库越位了                    2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
5'利物浦后场任意球                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
24'阿利松给到洛夫伦                    24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
25'球进了马内                   24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
25'利物浦左侧边线球 给到中场中路的法比尼奥                    24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
25'法比尼奥直接挑传禁区内的马内 马内左脚凌空打门 将球打进                    24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
26'曼联后场组织进攻 但是传球失误                   24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
27'利物浦继续发起快速进攻  达洛特大禁区左侧边缘犯规                   24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
27'被裁判员黄牌警告                   24'利物浦第24分钟取得领先，法比尼奥挑传，无人防守的马内胸部停球后小禁区前凌空扫射入网
33'利物浦快速发出角球 长传给到后点 但是传大了                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
33'曼联球门球                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
