4'比加莱长传球直接吊向前场禁区内！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
4'纳瓦斯把球摘下没收了！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
4'纳瓦斯低平球斜传右侧的瓦拉内！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
4'瓦拉内往前给出一脚挑传！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
4'帕切科后场把球控制下来！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'帕切科大脚开到前场左路！给到托雷斯！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'托雷斯分球前场中路的穆尼尔！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'穆尼尔前插！打门！！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'这球打偏出了底线！裁判表示穆尼尔越位接球了！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'皇马后场的定位球！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
5'纳瓦斯开球给到右路的卡瓦哈尔！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
6'卡瓦哈尔横敲给中路的卡塞米罗！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
6'卡塞米罗直传球给到身前的阿森西奥！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
6'阿森西奥回传一下后场的拉莫斯！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
6'拉莫斯一脚过顶挑传给到前场右路！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
6'卡瓦哈尔头球顶一下！把球给塞巴略斯！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'塞巴略斯被加西亚抢断了！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'加西亚长传球给前场左路反击！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'瓦拉内后场一个大脚解围！皮球出了底线！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'阿拉维斯的左侧角球！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'角球开起来！吊向禁区前点！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
7'纳瓦斯把球击打出去了！                   4'开场第4分钟，马努-加西亚送出直传，稍处越位位置的穆尼尔单刀射偏
40'杜阿尔特一脚斜线球给到前场右路比加莱！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
40'比加莱塞球给到禁区右侧的穆尼尔！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
40'右边路的传中！                   40'阿拉维斯第40分钟扳平，前巴萨边锋穆尼尔右路传中，无人防守的马努-加西亚12码处冲顶入网，1-1
