1'上半场比赛开始                   1'米利沃耶维奇第1分钟远射偏出
1'上半场由曼城中圈开球                   1'米利沃耶维奇第1分钟远射偏出
1'拉波尔特控球交给左后卫的门迪                   1'米利沃耶维奇第1分钟远射偏出
1'转移到右侧，接应的是斯特林，被范安霍尔特放倒                   1'米利沃耶维奇第1分钟远射偏出
1'曼城右侧的任意球机会                   1'米利沃耶维奇第1分钟远射偏出
1'德布劳内来主罚                   1'米利沃耶维奇第1分钟远射偏出
2'德布劳内斜传禁区，丹恩将球解围                   1'米利沃耶维奇第1分钟远射偏出
2'外围还是曼城的控球                   1'米利沃耶维奇第1分钟远射偏出
2'沃克拿球交给了拉波尔特                   1'米利沃耶维奇第1分钟远射偏出
2'拉波尔特压过半场                   1'米利沃耶维奇第1分钟远射偏出
2'分左侧的席尔瓦                   1'米利沃耶维奇第1分钟远射偏出
2'回做一下                   1'米利沃耶维奇第1分钟远射偏出
2'再转移右侧的沃克                   1'米利沃耶维奇第1分钟远射偏出
2'回给德布劳内                   1'米利沃耶维奇第1分钟远射偏出
2'回传给拉波尔特                   1'米利沃耶维奇第1分钟远射偏出
2'再斜传到斯特林脚下                   1'米利沃耶维奇第1分钟远射偏出
2'回给德布劳内，再直传                   1'米利沃耶维奇第1分钟远射偏出
3'沃克下底横扫门前                   1'米利沃耶维奇第1分钟远射偏出
3'阿圭罗停球后转身犹豫了                   1'米利沃耶维奇第1分钟远射偏出
3'被丹恩解围                   1'米利沃耶维奇第1分钟远射偏出
3'阿圭罗再得球冲进禁区                   1'米利沃耶维奇第1分钟远射偏出
3'汤森德回防卡住身位，将球让出底线                   1'米利沃耶维奇第1分钟远射偏出
3'水晶宫的门球                   1'米利沃耶维奇第1分钟远射偏出
3'瓜伊塔长传上来，孔帕尼顶以第一点                   1'米利沃耶维奇第1分钟远射偏出
4'万比萨卡右侧拿球，在萨内的紧逼罡传球失误                   1'米利沃耶维奇第1分钟远射偏出
4'拉波尔特交给了京多安，转移右侧的沃克                   1'米利沃耶维奇第1分钟远射偏出
4'直传给斯特林，回做一下                   1'米利沃耶维奇第1分钟远射偏出
4'拉波尔特分左侧的门迪                   1'米利沃耶维奇第1分钟远射偏出
4'回一下给到了拉波尔特                   1'米利沃耶维奇第1分钟远射偏出
4'交给京多安                   1'米利沃耶维奇第1分钟远射偏出
4'中路的组织，球传丢了                   1'米利沃耶维奇第1分钟远射偏出
4'麦克阿瑟得球回传给门将瓜伊塔                   1'米利沃耶维奇第1分钟远射偏出
15'范安霍尔特传中被拉波尔特顶出                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
15'米利沃耶维奇左侧的过顶传球被拦截                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
15'德布劳内长距离直传到禁区内                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
15'斯特林高速压到禁区趟一步小角度劲射，球直挂球门右上角球进！                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
16'打得非常漂亮                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
16'瓜迪奥拉也挥拳庆祝                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
16'门迪左路控球，回传给席尔瓦                   15'曼城第15分钟取得领先，德布劳内送出精准直传，斯特林突破至小禁区右上角外射入上角
