11'勒沃库森球员基斯林大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是恰尔汉奥卢.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
12'恰尔汉奥卢为勒沃库森赢得一个任意球.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
12'多特蒙德球员约基奇拼抢犯规,对手获得控球权.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
14'勒沃库森球员基斯林拼抢犯规,对手获得控球权.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
14'姆希塔良为多特蒙德赢得一个任意球.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
14'勒沃库森球员卡斯特罗一脚直塞球给恰尔汉奥卢,但是边裁举旗显示后者已经越位.                   11'第11分钟，恰尔汉奥卢左侧开出任意球，基斯林冲顶偏出左门柱
33'勒沃库森球员耶德瓦奇大禁区右侧右脚射门,被防守球员封堵.给他传球的是卡斯特罗.                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
33'杜尔姆将球处理出底线,勒沃库森获得角球.                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
33'勒沃库森球员伯尼施大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是基斯林.                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
36'勒沃库森球员伯尼施拼抢犯规,对手获得控球权.                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
36'皮什切克为多特蒙德在右路,赢得一个任意球.                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
36'勒沃库森贝拉拉比受伤倒地,比赛暂停                   33'第33分钟，勒沃库森角球被罗伊斯破坏后继续进攻，基斯林护球传出，伯尼施左脚射门偏出右门柱
84'勒沃库森球员伯尼施一脚直塞球给布兰特,但是边裁举旗显示后者已经越位.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
84'斯帕希奇将球处理出底线,多特蒙德获得角球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
84'射门!!!多特蒙德球员金特尔大禁区中央头球,被对方守门员横身扑出.给他传球的是J-霍夫曼.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
84'莱诺将球处理出底线,多特蒙德获得角球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
85'勒沃库森球员雷纳茨拼抢犯规,对手获得控球权.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
85'姆希塔良为多特蒙德赢得一个任意球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
86'勒沃库森球员K.帕帕多普洛斯拼抢犯规,对手获得控球权.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
86'姆希塔良为多特蒙德赢得一个任意球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
86'斯帕希奇将球处理出底线,多特蒙德获得角球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
87'托普拉克将球处理出底线,多特蒙德获得角球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
87'贝拉拉比为勒沃库森在对方半场,赢得一个任意球.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
87'多特蒙德球员姆希塔良拼抢犯规,对手获得控球权.                   84'第84分钟，霍夫曼右侧开出角球，金特尔在门前9米处顶出弹地球被莱诺奋勇托出
50'勒沃库森球员托普拉克拼抢犯规,对手获得控球权.                   50'补时第5分钟，贝拉拉比右路抢断杜尔姆送出地滚球，基斯林在门前12米处推射入球门顶端，2比0
50'因莫比莱为多特蒙德在左路,赢得一个任意球.                   50'补时第5分钟，贝拉拉比右路抢断杜尔姆送出地滚球，基斯林在门前12米处推射入球门顶端，2比0
51'黄牌！勒沃库森球员托普拉克因为恶意犯规,被主裁判出示黄牌.                   50'补时第5分钟，贝拉拉比右路抢断杜尔姆送出地滚球，基斯林在门前12米处推射入球门顶端，2比0
53'勒沃库森球员卡斯特罗拼抢犯规,对手获得控球权.                   50'补时第5分钟，贝拉拉比右路抢断杜尔姆送出地滚球，基斯林在门前12米处推射入球门顶端，2比0
53'姆希塔良为多特蒙德赢得一个任意球.                   50'补时第5分钟，贝拉拉比右路抢断杜尔姆送出地滚球，基斯林在门前12米处推射入球门顶端，2比0
