7'射门!!!罗马球员德斯特罗大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是利亚伊奇.                   7'开场7分钟，利亚伊奇传中
9'多纳蒂为维罗纳赢得一个任意球.                   7'开场7分钟，利亚伊奇传中
9'罗马球员贝纳蒂亚拼抢犯规,对手获得控球权.                   7'开场7分钟，利亚伊奇传中
9'维罗纳球员罗慕洛拼抢犯规,对手获得控球权.                   7'开场7分钟，利亚伊奇传中
9'斯特罗特曼为罗马在右路,赢得一个任意球.                   7'开场7分钟，利亚伊奇传中
9'黄牌！维罗纳球员罗慕洛因为恶意犯规,被主裁判出示黄牌.                   7'开场7分钟，利亚伊奇传中
34'罗马球员德斯特罗大禁区中央尝试右脚射门,可惜皮球偏出球门.给他传球的是热尔维尼奥.                   34'第34分钟，热尔维尼奥左路下底回敲，德斯特罗在门前6米处凌空打飞
36'麦孔将球处理出底线,维罗纳获得角球.                   34'第34分钟，热尔维尼奥左路下底回敲，德斯特罗在门前6米处凌空打飞
37'维罗纳马伊埃塔受伤倒地,比赛暂停                   34'第34分钟，热尔维尼奥左路下底回敲，德斯特罗在门前6米处凌空打飞
37'暂停结束,球员们重新开始比赛.                   34'第34分钟，热尔维尼奥左路下底回敲，德斯特罗在门前6米处凌空打飞
46'维罗纳球员托尼手球犯规,对手获得球权.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
47'霍尔弗雷德森为维罗纳在对方半场,赢得一个任意球.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
47'罗马球员纳英戈兰拼抢犯规,对手获得控球权.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
48'维罗纳球员霍尔弗雷德森拼抢犯规,对手获得控球权.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
48'德罗西为罗马赢得一个任意球.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
49'进球啦！！！维罗纳球员霍尔弗雷德森大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是多纳蒂. 维罗纳 1-1 罗马.                   46'上半时补时第1分钟，热尔维尼奥左路突破传中，利亚伊奇前点距门7米处外脚背弹射入网，1比0
60'罗马换人,皮亚尼奇换下纳英戈兰                   60'第60分钟，罗马右侧开出角球，热尔维尼奥后点停球内切闪开多纳蒂和罗穆洛，在门前12米处抽射入近角，2比1
60'进球啦！！！罗马球员热尔维尼奥大禁区中央右脚射门,球从左下角飞进球门,球进了! 维罗纳 1-2 罗马.                   60'第60分钟，罗马右侧开出角球，热尔维尼奥后点停球内切闪开多纳蒂和罗穆洛，在门前12米处抽射入近角，2比1
63'罗马球员德罗西大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是斯特罗特曼.                   60'第60分钟，罗马右侧开出角球，热尔维尼奥后点停球内切闪开多纳蒂和罗穆洛，在门前12米处抽射入近角，2比1
67'Juan Iturbe为维罗纳在右路,赢得一个任意球.                   67'第67分钟，弗洛伦齐左路低传，热尔维尼奥面对空门打呲
67'罗马球员德斯特罗拼抢犯规,对手获得控球权.                   67'第67分钟，弗洛伦齐左路低传，热尔维尼奥面对空门打呲
67'黄牌！罗马球员德斯特罗因为恶意犯规,被主裁判出示黄牌.                   67'第67分钟，弗洛伦齐左路低传，热尔维尼奥面对空门打呲
68'维罗纳换人,拉斐尔-马丁霍换下塔勒布                   67'第67分钟，弗洛伦齐左路低传，热尔维尼奥面对空门打呲
81'维罗纳球员A-冈萨雷斯犯规,致使对方获得点球.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
81'点球,托罗西迪斯在禁区内被侵犯,罗马获得点球.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
81'维罗纳球员Rafael Marques被主裁判出示了一张黄牌.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
82'进球啦！！！罗马球员托蒂右脚射门,球从左下角飞进球门,球进了! 维罗纳 1-3 罗马.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
83'维罗纳换人,隆戈换下多纳蒂                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
83'麦孔将球处理出底线,维罗纳获得角球.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
84'维罗纳球员罗慕洛大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是托尼.                   81'第81分钟，托罗西迪斯左路突入禁区被拉斐尔-马克斯绊倒，点球
47'霍尔弗雷德森为维罗纳在对方半场,赢得一个任意球.                   47'补时第2分钟，拉斐尔-马克斯头球被德桑克蒂斯神勇封出
47'罗马球员纳英戈兰拼抢犯规,对手获得控球权.                   47'补时第2分钟，拉斐尔-马克斯头球被德桑克蒂斯神勇封出
48'维罗纳球员霍尔弗雷德森拼抢犯规,对手获得控球权.                   47'补时第2分钟，拉斐尔-马克斯头球被德桑克蒂斯神勇封出
48'德罗西为罗马赢得一个任意球.                   47'补时第2分钟，拉斐尔-马克斯头球被德桑克蒂斯神勇封出
49'进球啦！！！维罗纳球员霍尔弗雷德森大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是多纳蒂. 维罗纳 1-1 罗马.                   47'补时第2分钟，拉斐尔-马克斯头球被德桑克蒂斯神勇封出
