2'任意球给到禁区                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
2'奥拉因卡抢点头球攻门                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
2'抱歉是德利                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
2'稍稍顶偏了                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
2'切尔西后场控球                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
3'给回到了门将                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
5'切尔西后场大脚                   2'开场仅2分钟，斯托赫左路任意球斜传，但西蒙-德利小禁区右侧冲顶偏出近角
25'威廉前场拿球                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
25'横向移动后突然在大禁区线上打门                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
25'打在了横梁上啊！！                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
25'运气有些欠佳                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
26'布拉格斯拉维亚中场拿球组织                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
26'分左路后送直塞                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
26'底线奥拉因卡没有将球救回来                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
28'布拉格斯拉维亚右路起球                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
28'切尔西后卫胸部停球回给了门将                   25'切尔西第25分钟险些破门，佩德罗传球，威廉禁区左侧的射门憾中横梁
79'切尔西打进一球                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
79'但是边裁举旗示意越位                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
79'这球越位的比较明显                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
80'切尔西后防出现一些问题                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
80'恩加德维前场争抢头球摔倒在地                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
80'之前布拉格斯拉维亚右路起球送禁区                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
81'科帕出击出现失误                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
81'第二下的反应很快将球扑了出去                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
81'布拉格斯拉维亚继续换人                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
82'奥拉因卡下，米克-范布伦上                   79'第79分钟，坎特传球，越位位置的吉鲁回传，若日尼奥12码处低射右下角入网，进球被判无效
86'切尔西右路起球送禁区后点，阿隆索后排插上后头球攻门将球顶进！！                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
86'切尔西这个进球不容易啊                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
86'送出助攻的是威廉                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
88'布拉格斯拉维亚获得角球                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
88'角球送后点                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
88'头球摆渡回来                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
88'中路被切尔西解围                   86'切尔西第86分钟绝杀，威廉右路斜传，无人防守的阿隆索10码处顶出反弹球破门
