4'马洛卡右路传宗，赫梅德~在后点把球控制下来                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
4'左边路再传~门前的球员抢点挑门，打高了                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
4'特球王~~~杀入了禁区！                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
4'左脚小角度抽射！球打偏了                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
5'特球王现在真是越打越自信                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
5'他不像佩德罗，特略的突破跟速度都很不错                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
5'皮克~又一次在禁区内解围                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
5'小白带球反击                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
5'桑切斯拉到边路，速度降了下来                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'蒂亚戈~分球给了左侧的特略                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'传中球被后卫挡出~而小白跟上的打门也是被封堵                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'蒂亚戈抢点头球~~~顶高了                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'恩苏埃被蒂亚戈迎面撞了个满怀                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'裁判中断比赛，恩苏埃倒地不起                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'恩苏埃曾经在诺坎普攻入过巴萨的大门                   4'第4分钟，赫梅德禁区左侧的射门稍稍高出
6'蒂亚戈~分球给了左侧的特略                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
6'传中球被后卫挡出~而小白跟上的打门也是被封堵                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
6'蒂亚戈抢点头球~~~顶高了                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
6'恩苏埃被蒂亚戈迎面撞了个满怀                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
6'裁判中断比赛，恩苏埃倒地不起                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
6'恩苏埃曾经在诺坎普攻入过巴萨的大门                   6'第6分钟，桑切斯禁区左侧回传，伊涅斯塔的射门被封堵，蒂亚戈12码处冲顶偏出并且撞伤恩苏埃
