1'上半场比赛开始                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
1'上半场由巴黎圣日耳曼中圈开球                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
1'曼城中场断球                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
1'阿圭罗内切后分边，德布劳内横扫门前被奥里耶挡一下                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
2'还是曼城的进攻，纳瓦斯右路来了，传中打在拉比奥身上出边线                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
2'萨尼亚掷界外球，三角短传纳瓦斯回传中路                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
2'费尔南迪尼奥直传，没有队友在传球线路上                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
3'迪马利亚左路带球被萨尼亚破坏出边线                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
3'阿圭罗中圈逼抢断球了                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
3'带球上来，席尔瓦分一下边                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
4'纳瓦斯下底传中被奥里耶大脚开出禁区                   1'曼城第1分钟占据主动展开攻势，但巴黎很快进入节奏并占据70%控球率
30'主裁判给了曼城点球，还给了大巴黎门将特拉普一张黄牌                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
30'阿圭罗点球宴客！                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
30'推射球门右下角擦着立柱出底线                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
31'蒂亚戈席尔瓦大脚开到前场，伊布拉希莫维奇停球大了                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
32'克里希交给席尔瓦                   30'曼城第30分钟错失良机，奥利耶失误丢球，阿圭罗突入禁区左侧被出击的特拉普绊倒，但阿根廷人亲自主罚点球却偏右侧立柱
