1'上半场比赛开始！！！                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
1'白衣白裤的皇马开球，从画面的左侧向右进攻                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
1'马塞洛左路拿球，过了中线，面对逼抢，回传拉莫斯                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
1'拉莫斯分球瓦拉内，瓦拉内再给右侧的卡瓦哈尔                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
2'卡瓦哈尔右路强突，横传J罗                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
2'J罗给到C罗，C罗再回敲J罗                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
2'J罗斜塞禁区左侧给到上来的马塞洛                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
2'马塞洛强突，小角度劲射，打飞啦！！！                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
3'西班牙人前场传球失误，伊斯科的抢断                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
3'克罗斯中场拿球，斜传右路给到卡瓦哈尔                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
3'卡瓦哈尔横传J罗，J罗再给卡瓦哈尔                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
4'卡瓦哈尔内切被干扰，回传瓦拉内                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
4'瓦拉内的斜传球给到克罗斯，克罗斯给到马塞洛                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
4'马塞洛斜传球给到C罗，C罗停球转身，打门                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
4'被阿尔劳斯基斯倒地封堵                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
4'本泽马插上准备补射，被安迪亚头球回顶给门将                   1'皇马第1分钟展开积极攻势，马塞洛禁区左侧小角度射门稍稍高出
7'角球开出到禁区，本泽马头球摆渡                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
7'伊斯科跟进停球，一趟，起脚远射，打偏了一点点！！                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
7'伊斯科左路拿球，强突被桑切斯拉倒在地！！！                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
7'皇马进球啦！！！                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
8'本泽马的个人第18粒进球！！！                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
9'卡瓦哈尔右路过顶直传，莫德里奇停球，回敲给到J罗，J罗调整一下，起脚传中，本泽马头球攻门，顶进！！！                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
9'西班牙人的右路进攻，洛佩兹的下底传中，被拉莫斯头球解围                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
10'卡瓦哈尔前场右路拿球，强突被断                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
10'卡瓦哈尔原地反抢，将杜阿尔特的解围球碰出边线                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
10'克罗斯中场拿球，直传给到C罗                   7'皇马第7分钟取得领先，哈梅斯-罗德里格斯右路传中，本泽马小禁区前头球破门
12'伊斯科挑传找本泽马，本泽马背身停球一拨找C罗，C罗身子一抹，转身强突禁区，被安迪亚绊倒在地，点球无误！！                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
12'C罗主罚，一蹴而就！！！                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
12'差一点点啊，阿尔劳斯基斯碰到了球，但力量太大                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
13'佩雷斯刚刚抗议裁判的判罚，被主裁判出示了黄牌警告！！！                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
13'这也是本场比赛的第一张黄牌！！！                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
14'伊斯科前场拿球，横传莫德里奇                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
14'莫德里奇再给右侧的卡瓦哈尔                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
14'卡瓦哈尔斜传后点，伊斯科将球停住                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
14'面对逼抢，回传马塞洛，马塞洛起球到禁区                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
14'本泽马胸部停球，离身体太远，被后卫解围                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
15'西班牙人后场右路失误，C罗抢断                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
15'C罗左路拿球强突，穿裆，被反断回来                   12'皇马第12分钟扩大比分，C-罗纳尔多突入禁区内被罗科绊倒，他亲自主罚点球命中，2-0
45'本泽马前场拿球，直塞给到前插的C罗                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
45'C罗右路拿球，内切到禁区                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
45'面对安迪亚的上抢，向上一趟，可惜趟大，被后卫拦截                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
45'西班牙人的反击，右路横传球                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
45'佩雷斯的打门，被纳瓦斯封堵                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'皇马再进一个！！！                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'C罗的左脚抽射！！！                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
47'C罗前场拿球，强突到禁区弧顶，面对安迪亚，右脚一扣，接着横趟，禁区弧内起左脚抽射，打进！！！                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'下半场比赛开始！！！                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'西班牙人开球，从画面的左侧向右进攻！！                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'佩雷斯右路强突，拉莫斯拉人犯规                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
46'西班牙人获得前场右路的任意球机会                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
47'莫雷诺任意球斜传禁区，桑切斯的头球，顶偏了一点点哦                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
48'西班牙人下半场直接换上两人，不过都是防守的，这思想。。。                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
48'卡瓦哈尔右路拿球，内切遭遇逼抢，回传拉莫斯                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
48'拉莫斯再给克罗斯，克罗斯分球J罗                   45'西班牙人第45分钟错过机会，斯拉右路传中，塞维利亚10码处推射被纳瓦斯横身扑救封堵
82'C罗再进一球！！！                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
83'J罗左路拿球，挑传给到赫塞，赫塞内切，禁区线上挑传后点，C罗插上，附身头球，顶进近角！！！                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
83'双方本赛季首回合皇马客场6-0，C罗五星连珠，此役在演帽子戏法！！                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
84'洛佩兹前场拿球，卡塞米罗身后放铲，放倒了洛佩兹，犯规                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
84'卡塞米罗被主裁判出示了黄牌警告！！！                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
84'西班牙人获得前场中路的任意球机会                   82'第82分钟，赫塞切入禁区左侧传中，C-罗纳尔多近距离头球破门，5-0
