1'上半场比赛开始了                   1'双方第1分钟大打对攻
1'上半场比赛由利物浦中圈开球                   1'双方第1分钟大打对攻
1'克莱恩交给米尔纳，长传上来                   1'双方第1分钟大打对攻
2'热刺断球                   1'双方第1分钟大打对攻
2'罗斯的传球没有传好，热刺前场反抢成功                   1'双方第1分钟大打对攻
2'孙兴民直传给大了                   1'双方第1分钟大打对攻
3'米尔纳断球，直传，斯图里奇距离球还是比较远                   1'双方第1分钟大打对攻
3'利物浦获得一个前场右路的任意球机会                   1'双方第1分钟大打对攻
4'库蒂尼奥传到禁区，前点大家漏了                   1'双方第1分钟大打对攻
4'后点打门被后卫挡出                   1'双方第1分钟大打对攻
4'热刺后场倒脚                   1'双方第1分钟大打对攻
36'米尼奥莱拿到第二点再下底，球趟出了底线                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
37'库蒂尼奥直传禁区，斯图里奇斜要门被洛里封出                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
37'阿德维尔德头球顶出底线                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
37'库蒂尼奥发角球，第一点还是热刺球员顶出                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
37'凯恩前场得球，过了莫雷诺                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
37'不过接应的点太少了                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
38'利物浦反击，拉拉纳低射被洛里扑出                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
38'萨科分左路的莫雷诺                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
39'热刺抢球下来，凯恩过了萨科                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
39'凯恩进了禁区打门被洛夫伦倒地封出                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
39'库蒂尼奥挑传，斯图里奇没有前插                   36'利物浦第36分钟错过绝佳机会，库蒂尼奥送出直传，禁区左侧12码处单刀射门被洛里斯扑出
40'萨科又面对面传给了孙兴民                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
40'不过第一传也没有传好                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
40'库蒂尼奥传中，机会                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
40'拉拉纳点球点到半空                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
41'落地后拉拉纳找到球转身一抽打嗤了，不堪被洛里挡出底线                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
41'库蒂尼奥发角球，洛里单掌将球击出禁区                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
41'克洛普在场边大声呼喊着什么                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
42'情绪很激动                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
42'阿德维尔德后场横传，差点被斯图里奇断下形成单刀                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
43'罗斯断球，凯恩突进被亨德森背后将球生生断下                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
43'凯恩倒地但裁判没有理睬                   40'利物浦第40分钟又险些破门，拉拉纳小禁区前混战中凌空扫射，洛里斯反应神速将皮球扑出
57'莫雷诺左路斜传禁区，斯图里奇摆脱了防守头球顶高了                   57'红军第57分钟险些扩大比分，库蒂尼奥前场左边路拦截后传中，无人防守的斯图里奇小禁区边缘头球攻门稍稍高出
58'阿里直传，凯恩停球后被埃姆雷坎解围出边线                   57'红军第57分钟险些扩大比分，库蒂尼奥前场左边路拦截后传中，无人防守的斯图里奇小禁区边缘头球攻门稍稍高出
59'登贝莱挑传禁区，孙兴民反插上有机会，凌空打门打偏了                   57'红军第57分钟险些扩大比分，库蒂尼奥前场左边路拦截后传中，无人防守的斯图里奇小禁区边缘头球攻门稍稍高出
