6'射门!!!AC米兰球员博阿滕大禁区外左脚射门,被对方守门员横身扑出.给他传球的是康斯坦特.                   6'开场6分钟，博阿滕禁区前沿左脚抽射被安杜哈尔倒地没收
17'马切塞为卡塔尼亚赢得一个任意球.                   16'第16分钟，阿尔瓦雷斯右路传中，阿尔米隆后点头球蹭偏
17'AC米兰球员德希利奥拼抢犯规,对手获得控球权.                   16'第16分钟，阿尔瓦雷斯右路传中，阿尔米隆后点头球蹭偏
32'AC米兰球员诺切里诺大禁区中央右脚射门,被防守球员封堵.给他传球的是博阿滕.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
33'卡塔尼亚球员博格西奥拼抢犯规,对手获得控球权.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
33'康斯坦特为AC米兰赢得一个任意球.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
34'卡塔尼亚球员阿尔米隆拼抢犯规,对手获得控球权.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
34'德希利奥为AC米兰赢得一个任意球.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
34'博格西奥为卡塔尼亚赢得一个任意球.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
34'AC米兰球员德容拼抢犯规,对手获得控球权.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
35'AC米兰球员梅克斯一脚直塞球给博阿滕,但是边裁举旗显示后者已经越位.                   32'第32分钟，卡塔尼亚禁区内混战，诺切里诺距门7米处射门被封堵
41'卡塔尼亚球员巴里恩托斯在禁区内摔倒了,但裁判判他假摔！                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
41'卡塔尼亚球员巴里恩托斯被主裁判出示了一张黄牌.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
42'巴里恩托斯为卡塔尼亚赢得一个任意球.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
42'AC米兰球员康斯坦特拼抢犯规,对手获得控球权.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
43'萨利弗为卡塔尼亚赢得一个任意球.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
43'AC米兰球员博阿滕拼抢犯规,对手获得控球权.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
44'AC米兰球员德希利奥一脚直塞球给博阿滕,但是边裁举旗显示后者已经越位.                   41'第41分钟，巴里恩托斯中场假摔吃到黄牌
49'卡塔尼亚球员巴里恩托斯拼抢犯规,对手获得控球权.                   48'下半时开始3分钟，AC米兰迎来转机，巴里恩托斯踢倒诺切里诺，累计2张黄牌被罚下
49'诺切里诺为AC米兰在对方半场,赢得一个任意球.                   48'下半时开始3分钟，AC米兰迎来转机，巴里恩托斯踢倒诺切里诺，累计2张黄牌被罚下
49'卡塔尼亚球员巴里恩托斯因为恶意犯规,被裁判出示了第二张黄牌.                   48'下半时开始3分钟，AC米兰迎来转机，巴里恩托斯踢倒诺切里诺，累计2张黄牌被罚下
51'AC米兰球员博阿滕球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅克斯.                   48'下半时开始3分钟，AC米兰迎来转机，巴里恩托斯踢倒诺切里诺，累计2张黄牌被罚下
56'卡塔尼亚球员罗林拼抢犯规,对手获得控球权.                   56'AC米兰第56分钟反超，沙拉维回做，博阿滕拿球变线扣过洛迪，在门前25米处打出弧线球钻进右下角，2比1
56'罗比尼奥为AC米兰赢得一个任意球.                   56'AC米兰第56分钟反超，沙拉维回做，博阿滕拿球变线扣过洛迪，在门前25米处打出弧线球钻进右下角，2比1
56'进球啦！！！AC米兰球员博阿滕大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是沙拉维. 卡塔尼亚 1-2 AC米兰.                   56'AC米兰第56分钟反超，沙拉维回做，博阿滕拿球变线扣过洛迪，在门前25米处打出弧线球钻进右下角，2比1
63'P-阿尔瓦雷斯将球处理出底线,AC米兰获得角球.                   62'第62分钟，诺切里诺突入禁区右侧被阿尔瓦雷斯从后推倒，但奥尔萨托没有表示
65'AC米兰球员蒙托利沃一脚直塞球给罗比尼奥,但是边裁举旗显示后者已经越位.                   62'第62分钟，诺切里诺突入禁区右侧被阿尔瓦雷斯从后推倒，但奥尔萨托没有表示
68'射门!!!AC米兰球员沙拉维大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是博阿滕.                   68'第68分钟，博阿滕右路地滚球被罗比尼奥漏过，沙拉维后点距门10米处停球推射远角被安杜哈尔封出
68'安杜哈尔将球处理出底线,AC米兰获得角球.                   68'第68分钟，博阿滕右路地滚球被罗比尼奥漏过，沙拉维后点距门10米处停球推射远角被安杜哈尔封出
71'暂停结束,球员们重新开始比赛.                   68'第68分钟，博阿滕右路地滚球被罗比尼奥漏过，沙拉维后点距门10米处停球推射远角被安杜哈尔封出
71'卡塔尼亚阿尔米隆受伤倒地,比赛暂停                   68'第68分钟，博阿滕右路地滚球被罗比尼奥漏过，沙拉维后点距门10米处停球推射远角被安杜哈尔封出
80'AC米兰球员罗比尼奥大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是诺切里诺.                   80'第80分钟，诺切里诺右路反击突入禁区回敲，无人盯防的罗比尼奥在门前9米处推射打飞
80'卡塔尼亚球员帕格里亚伦加一脚直塞球给杜卡拉,但是边裁举旗显示后者已经越位.                   80'第80分钟，诺切里诺右路反击突入禁区回敲，无人盯防的罗比尼奥在门前9米处推射打飞
