11'富力后场抢断，长传给到扎哈维                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
11'扎哈维前场中路强突，保利尼奥的回防犯规！！                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
12'富力获得了前场中路的任意球机会！！                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
12'距离球门30米，雷纳迪尼奥主罚                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
13'任意球直接轰门，打在人墙上弹起到门前                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
13'弹地后被曾诚揽入怀中！！                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
14'乌索右路拿球强突，冯潇霆的补防犯规！！                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
14'雷纳迪尼奥前场右路拿球，传中打在了李学鹏身上出边线                   11'第11分钟，扎哈维与保利尼奥争抢时倒地，裁判马宁吹罚禁区前任意球
17'塔利斯卡中场拿球，回传梅方                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
17'力量轻了点，梅方赶紧上步                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
17'抢在扎哈维之前，将球过度给张琳芃                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
17'张琳芃长传找冯博轩，被张晨龙拦截                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
18'陈伟铭前场右路拿球内切                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
18'外脚背直塞禁区找到扎哈维                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
18'扎哈维面对梅方逼抢，带球出禁区                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
19'转身再传禁区弧顶，乌索跟进一脚抽射，打飞！                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
20'雷纳迪尼奥后场右路拿球，强突摆脱李学鹏                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
20'面对高拉特补防，人球分过                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
20'趟球太大，郑智拦截                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
20'横传给到塔利斯卡，搓传到门前                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
20'冯博轩插上头球轰门，顶偏！！                   17'第17分钟，乌索接扎哈维倒三角回传禁区外尝试远射，可惜未能命中目标
21'富力的前场进攻，中场的直塞找到前插的扎哈维                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
21'扎哈维带球直冲禁区，变向下底                    21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
21'趟球趟大了，冯潇霆卡位，将球护送出底线                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
21'目前的射门：恒大2次，1次射正；富力3次射门，0射正！                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
22'郑智的机会啊，可惜啦！！                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
22'保利尼奥前场左路传中到禁区中路                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
22'塔利斯卡背身停球，在防守球员干扰下没能停好                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
22'球出禁区，郑智插上得球                   21'第21分钟，保利尼奥的传中球被塔利斯卡护住，恒大场上队长郑智后排插上断球后近距离射门被程月磊扑出，保利尼奥跟进补射偏出球门
