10'佛罗伦萨球员托莫维奇拼抢犯规,对手获得控球权.                   10'热那亚极端球迷在开球10分钟后入场，抗议近期裁判对热那亚的判罚
10'尼昂为热那亚赢得一个任意球.                   10'热那亚极端球迷在开球10分钟后入场，抗议近期裁判对热那亚的判罚
11'迪亚曼蒂为佛罗伦萨赢得一个任意球.                   10'热那亚极端球迷在开球10分钟后入场，抗议近期裁判对热那亚的判罚
11'热那亚球员迪马伊奥拼抢犯规,对手获得控球权.                   10'热那亚极端球迷在开球10分钟后入场，抗议近期裁判对热那亚的判罚
54'Edenilson将球处理出底线,佛罗伦萨获得角球.                   54'紫百合第54分钟追平，马蒂亚斯-费尔南德斯右路斜传，后卫头球解围失误，冈萨洛-罗德里格斯远门柱顶进，1比1，佛罗伦萨本赛季8次通过角球配合破门，其中冈萨洛-罗德里格斯包办4球
54'进球啦！！！佛罗伦萨球员冈萨洛小禁区左侧头球,球从左上角飞进球门,球进了! 热那亚 1-1 佛罗伦萨.                   54'紫百合第54分钟追平，马蒂亚斯-费尔南德斯右路斜传，后卫头球解围失误，冈萨洛-罗德里格斯远门柱顶进，1比1，佛罗伦萨本赛季8次通过角球配合破门，其中冈萨洛-罗德里格斯包办4球
55'热那亚球员布尔迪索一脚直塞球给Iago Falque,但是边裁举旗显示后者已经越位.                   54'紫百合第54分钟追平，马蒂亚斯-费尔南德斯右路斜传，后卫头球解围失误，冈萨洛-罗德里格斯远门柱顶进，1比1，佛罗伦萨本赛季8次通过角球配合破门，其中冈萨洛-罗德里格斯包办4球
56'迪马伊奥为热那亚赢得一个任意球.                   54'紫百合第54分钟追平，马蒂亚斯-费尔南德斯右路斜传，后卫头球解围失误，冈萨洛-罗德里格斯远门柱顶进，1比1，佛罗伦萨本赛季8次通过角球配合破门，其中冈萨洛-罗德里格斯包办4球
56'佛罗伦萨球员巴巴卡尔拼抢犯规,对手获得控球权.                   54'紫百合第54分钟追平，马蒂亚斯-费尔南德斯右路斜传，后卫头球解围失误，冈萨洛-罗德里格斯远门柱顶进，1比1，佛罗伦萨本赛季8次通过角球配合破门，其中冈萨洛-罗德里格斯包办4球
81'热那亚球员布尔迪索拼抢犯规,对手获得控球权.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
81'M-费尔南德斯为佛罗伦萨在对方半场,赢得一个任意球.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
81'热那亚球员布尔迪索因为恶意犯规,被裁判出示了第二张黄牌.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'射门!!!佛罗伦萨球员José Basanta大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是M-费尔南德斯.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'热那亚球员斯图若多拼抢犯规,对手获得控球权.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'巴尔加斯为佛罗伦萨在左路,赢得一个任意球.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'黄牌！热那亚球员斯图若多因为恶意犯规,被主裁判出示黄牌.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'林孔为热那亚赢得一个任意球.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
83'佛罗伦萨球员冈萨洛拼抢犯规,对手获得控球权.                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
84'佛罗伦萨换人,理查兹换下冈萨洛                   81'第81分钟，布尔迪索对马蒂亚斯-费尔南德斯犯规，累计2张黄牌被罚下
