2'姆希塔良回给身后的帕帕斯塔索普洛斯！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
2'帕帕斯塔索普洛斯长传球给前场右侧！这球被门迪解围出边线！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
2'帕帕斯塔索普洛斯长传球给前场右侧！这球被门迪解围出边线！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'阿森纳发球给中场阿森纳！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'抱歉！拉姆塞！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'拉姆塞再给前场中路一脚长传球！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'这球到了禁区内被埃德森-莫赖斯没收！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'埃德森-莫赖斯开球给中路京多安！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
3'京多安的球被奥巴梅扬破坏！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
4'拉波尔特上前放倒了奥巴梅扬！拉波尔特的犯规！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
4'阿森纳开球给后场穆斯塔菲！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
4'穆斯塔菲低平球给中路帕帕斯塔索普洛斯！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
4'帕帕斯塔索普洛斯长传球给前场右侧厄齐尔！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
4'边裁举旗！这是厄齐尔越位！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
5'埃德森-莫赖斯开球给后场左路拉波尔特！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
5'拉波尔特给左路斯特林！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
5'斯特林的球被古恩多兹断走！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
5'斯特林放倒了古恩多兹！裁判给了斯特林黄牌！                   2'开场仅2分钟，帕帕斯塔索普洛斯前顶，拉姆塞外围射门被埃德森轻松拿下
14'皮球来到曼城后场！埃德森-莫赖斯把球控制！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'埃德森-莫赖斯开球给后场右侧斯通斯！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'斯通斯再给右路反击的马赫雷斯！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'马赫雷斯塞球给禁区内右肋阿奎罗！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'阿奎罗的球被梅特兰-奈尔斯解围出去！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'外围斯特林迎球怒射！！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'GOOOOOOOOOOOOAL！！！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
14'球进了啊！！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
15'斯特林禁区前沿的打门！！一蹴而就！曼城1-0阿森纳！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
16'穆斯塔菲开球给右侧厄齐尔！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
17'厄齐尔带球被斯特林争抢犯规！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
17'阿森纳开球长传给前场右侧！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
17'门将埃德森-莫赖斯把球拿到没收！                   14'曼城第14分钟取得领先，门迪传球，斯特林禁区边缘外横切连过贝莱林和古恩多齐后劲射入网
56'曼城开球给中场右侧门迪！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
56'门迪的球被奥巴梅扬断走！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
56'奥巴梅扬带球快速推进！                   56'第56分钟，阿森纳前场断球，奥巴梅扬传球，拉卡泽特大腿停球后禁区弧内半凌空抽射，皮球擦右侧立柱偏出
