1'上半场比赛开始！！                   1'双方第1分钟均显得小心谨慎
1'巴塞尔开球，从画面的右侧向左进攻！！                   1'双方第1分钟均显得小心谨慎
1'苏希后场拿球，分球给到迪耶                   1'双方第1分钟均显得小心谨慎
1'迪耶再给右路的尤努西                   1'双方第1分钟均显得小心谨慎
2'罗霍回防拦截，将球回传罗梅罗！！                   1'双方第1分钟均显得小心谨慎
2'埃雷拉后场拿球，直塞费莱尼                   1'双方第1分钟均显得小心谨慎
2'费莱尼背身拿球，没机会转身                   1'双方第1分钟均显得小心谨慎
3'回传埃雷拉，再给横传给上来的斯莫林                   1'双方第1分钟均显得小心谨慎
3'巴塞尔前场抢断，斯蒂芬中路拿球                   1'双方第1分钟均显得小心谨慎
3'强突到禁区弧顶，遭遇夹击                   1'双方第1分钟均显得小心谨慎
3'分球右路给到上来的米契尔-朗                   1'双方第1分钟均显得小心谨慎
4'朗的边路传中到禁区                   1'双方第1分钟均显得小心谨慎
4'尤努西侧身倒勾，没能碰到                   1'双方第1分钟均显得小心谨慎
4'球打在埃雷拉身上弹出禁区                   1'双方第1分钟均显得小心谨慎
16'达米安右路拿球，直塞林加德                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
16'林加德脚后跟回传给到切入的达米安                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
16'达米安不停球，斜塞找费莱尼                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
16'出球后，达米安被铲翻在地，球也出了边线                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
17'裁判吹罚了放铲的佩雷塔犯规！！                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
17'曼联获得了前场中路，靠近右侧的任意球机会！                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
17'任意球搓传到禁区，费莱尼的头球，顶高！                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
18'迪耶中圈拿球，过顶打身后找奥博林                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
18'传球力量太大，进入禁区，被出击的罗梅罗拿到                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
19'罗霍后场拿球，分球左侧布林德                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
19'布林德直塞找到马夏尔                   16'曼联第16分钟又险些破门，布林德右路任意球斜传，费莱尼10码处冲顶偏出右侧立柱
