1'范崎哨响，比赛开始了                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
1'申花率先开球，从左侧向右侧进攻，辽宁从右侧向左侧进攻                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
1'后场一记长传，瓜林在给到柏佳骏                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
2'秦升拿球，在给曹赟定，曹赟定回撤被王亮放倒                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
2'今天首发的是辽宁的小王亮，不是大家熟悉的老将王亮                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
3'辽宁中场拿球，金泰延一记直塞给到右边                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
3'詹姆斯前插越位了                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
3'辽宁后场的长传，辽宁再一次越位。连续2次                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
4'申花开场险些破门啊                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
4'曹赟定左路斜吊禁区，莫雷诺漂亮的头球，顶出弹地                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
4'球是击中立柱之后，在门线被石笑天没收的                   1'第1分钟辽宁队即快速走两翼，但均落入申花越位陷阱
5'莫雷诺这个球不走运啊，球是砸在了草坪的洼坑里，否则很可能进球                   5'第5分钟柏佳骏推倒图雷吃到黄牌
5'辽宁的这块场地也不是很平整                   5'第5分钟柏佳骏推倒图雷吃到黄牌
5'郑涛后场破坏出边线                   5'第5分钟柏佳骏推倒图雷吃到黄牌
5'秦升右路发出界外球，大力给到禁区                   5'第5分钟柏佳骏推倒图雷吃到黄牌
6'登巴巴冲击力很强啊，后点被阿萨尼解围了                   5'第5分钟柏佳骏推倒图雷吃到黄牌
6'辽宁的反击，给到图雷，速度很快啊                   5'第5分钟柏佳骏推倒图雷吃到黄牌
6'柏佳骏回防，战术犯规，铲人了。。吃到黄牌                   5'第5分钟柏佳骏推倒图雷吃到黄牌
7'阿萨尼中路直塞，给到图雷突破秦                   5'第5分钟柏佳骏推倒图雷吃到黄牌
7'秦升铲抢，裁判没吹犯规                   5'第5分钟柏佳骏推倒图雷吃到黄牌
7'左路曹赟定反击，快速上来，送一个直塞                   5'第5分钟柏佳骏推倒图雷吃到黄牌
7'莫雷诺停球过人，但是被阿萨尼卡住了位置                   5'第5分钟柏佳骏推倒图雷吃到黄牌
8'詹姆斯中路推进，直塞很妙啊                   5'第5分钟柏佳骏推倒图雷吃到黄牌
8'找到禁区插上的图雷，图雷越位了                   5'第5分钟柏佳骏推倒图雷吃到黄牌
8'辽宁开场3次越位了，很坚决的打申花的身后                   5'第5分钟柏佳骏推倒图雷吃到黄牌
8'阿萨尼上来，给到斯威特，在给左侧金泰延                   5'第5分钟柏佳骏推倒图雷吃到黄牌
9'传中进来，被对手解围出来                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
9'外围阿萨尼在给右路的雷永驰                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
9'推给插上底线的孙世林，柏佳骏把球挡出底线                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
9'孙世林角球开出，前点金基熙把球挡出                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
10'吕征右侧得球，交给后面瓜林，大范围的转移                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
10'左路柏佳骏直推给曹赟定，推进到禁区前                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
10'在找登巴巴，登巴巴做球给身后                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
10'瓜林禁区前沿一脚爆杆远射，力量超大啊，高了                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
11'金泰延后场敲给阿萨尼，一个长传过去                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
11'雷永驰把球在给到斯威特                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
11'斯威特传球不错在交给前插的雷永驰                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
11'雷永驰在秦升的纠缠下，射门打偏                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
12'图雷再次吊入了申花的越位陷阱                   9'第9分钟申花前场连续配合，登巴巴接曹赟定送球后回做，瓜林禁区外正脚背抽射高出
17'柏佳骏中场的头球摆渡，直接给到了詹姆斯                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
17'辽宁顺势进攻，球到图雷脚下，有点粘，耽误战机啊                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
17'金泰延左路给到郑涛，中间找到詹姆斯                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
18'詹姆斯突破到弧顶外，这次不传了，直接来一脚                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
18'球打的比较正。对李帅没什么威胁                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
18'金基熙后场给到李建滨，左侧起球                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
18'想找曹赟定，被王亮挡下                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
19'詹姆斯错失良机啊，很好的单刀机会，没有打进                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
20'辽宁反击给到詹姆斯，詹姆斯强行坦克式推进过掉了金基熙，扛开补防的李建滨，单刀推射被李帅挡出                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
20'李帅立下大功了                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
20'辽宁今天打的不错啊                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
20'左路金泰延赶在李运秋之前传中进来                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
20'詹姆斯跑过了头，但还是背身做球到后面                   17'回过神的辽宁队开始在主场表现出应有实力，第17分钟金泰延从李运秋脚下截球后进攻，可惜最后詹姆斯着急禁区外射门被李帅接住
25'孙世林来主罚                   25'第25分钟孙世林开出角球，图雷顶球太正
25'角球送入禁区内，到点球点附近                   25'第25分钟孙世林开出角球，图雷顶球太正
25'图雷头球吊射，门前被李帅摘下                   25'第25分钟孙世林开出角球，图雷顶球太正
25'右路吕征得球，边路推进，面对雷永驰，突破被挡出边线                   25'第25分钟孙世林开出角球，图雷顶球太正
26'申花右侧吊球进去，被挡出来                   25'第25分钟孙世林开出角球，图雷顶球太正
26'雷永驰外围停球失误，被吕征断下来，雷永驰再抢，犯规了                   25'第25分钟孙世林开出角球，图雷顶球太正
26'右侧定位球，瓜林来踢                   25'第25分钟孙世林开出角球，图雷顶球太正
26'瓜林选择了射门，被人墙中的雷永驰挡下                   25'第25分钟孙世林开出角球，图雷顶球太正
27'前场申花的球还没有丢                   25'第25分钟孙世林开出角球，图雷顶球太正
27'瓜林斜传转移到左侧，没有给好，出了边线                   25'第25分钟孙世林开出角球，图雷顶球太正
27'申花继续进攻，秦升给到瓜林，右侧李运秋上来                   25'第25分钟孙世林开出角球，图雷顶球太正
27'瓜林分球被詹姆斯挡下来                   25'第25分钟孙世林开出角球，图雷顶球太正
28'李运秋再把球拿住，边路的配合被金泰延挡出边线                   25'第25分钟孙世林开出角球，图雷顶球太正
28'秦升右路的大力手榴弹界外球                   25'第25分钟孙世林开出角球，图雷顶球太正
