15'建业中场抢断，过顶球给到约翰逊                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
15'约翰逊拿球往左侧走，被陈昌源破坏出边线                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
16'建业界外球进场，约翰逊横传给张璐                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
16'张璐禁区外拔脚怒射，没威胁                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
16'米西拿球，面对张璐的上抢，外脚背一拨，张璐上来直接踢翻                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
16'张璐被主裁判出示了黄牌警告！！！                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
17'张璐刚刚的打门时双方本场比赛的第一脚射门                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
17'同时刚刚的黄牌，也是本场第一张！！！                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
18'肖智后场的过顶直传，直接传出了边线                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
18'尤里前场接到界外球转身，被断                   15'比赛在大雨中进行，双方前15分钟都被雨天所困，谁也没有创造出好的得分机会
46'建业在中前场丢球后的原地反抢相当凶悍，哪怕是犯规也要逼抢                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
46'杨昊前场中路拿球，准备尝试远射，被后卫破坏                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
46'周亚君出击将球揽入怀中                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'米西禁区外接到队友横传，侧身凌空一脚扫射，打在边网上                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'这球米西的衔接相当到位，技术牛啊                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
48'陈昌源右路拿球，内切时被放倒                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
49'人和前场右路任意球，米西主罚                   46'1分钟后，张璐踢倒米西莫维奇吃到本场比赛第一张黄牌
