4'布鲁诺长传找高迪，给大了，阿尔滨边线球。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
4'李文博前场被绊倒了，定位球。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
5'定位球开到前点，路易斯头球攻门稍稍偏出立柱。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
5'阿尔滨右边路孙铂拿球，没什么机会回传组织一下。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
5'球来到了左边于汉超！                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
6'于汉超回给中路布鲁诺，打门被封堵，申花的反击没有打起来。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
6'高迪右路被侵犯了，定位球。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
7'猴儿香蕉有毒 :这个路易斯比起德罗巴差的太远了！无比怀念德罗巴(19:52---乐乐也想念魔兽！                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
7'双方开场后都强调地面配合。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
7'申花断球反击了！                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
7'曹赟定！                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
7'曹赟定的打门被李学鹏挡出底线，角球。                   4'第4分钟，徐亮开出前场任意球，路易斯头球攻门球稍稍偏出
12'于汉超左路突破传中被李文博挡出底线，角球。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
12'于大宝左路！                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
12'于大宝横传布鲁诺，布鲁诺右脚弧线球打门被耿晓峰没收。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
13'申花的反击被于大宝阻断。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
13'今天于大宝有一点后腰的意思啊！                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
13'浦东阿斌 :今天上海三支中超全胜，申花绿城1比0胜大连阿尔滨(19:59)----两边都加油！                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
14'于汉超被王寿挺犯规，定位球。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
14'布鲁诺开定位球到中路，争顶的时候莫雷诺被犯规了，后场球。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
14'申花的反击在右路！                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
15'高迪的斜传找路易斯，给大了。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
15'莫雷诺的右边路突破没过掉李学鹏，可惜了。                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
15'手机用户2889747855 :高迪加油，高迪进一个，鲁迷留(19:55----赞一个！                   12'第12分钟，布鲁诺开出战术角球，在经过一系列传递后布鲁诺禁区外的射门绵软无力被耿晓峰稳稳抱住
16'阿尔滨在右路策动进攻。                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
16'于汉超强行转身被断了，申花的反击。                   16'上海申花在第16分钟打破场上僵局，莫雷诺在与曹S定打出撞墙配合后内切成功面对出击的阿尔滨门将张冷静推射左下角入网
