16'索萨为AC米兰在对方半场,赢得一个任意球.                   16'第16分钟，索萨右路任意球斜传，库茨卡前点距门9米处头球蹭进远角，1比0
16'佛罗伦萨球员博尔加-巴雷罗拼抢犯规,对手获得控球权.                   16'第16分钟，索萨右路任意球斜传，库茨卡前点距门9米处头球蹭进远角，1比0
16'进球啦！！！AC米兰球员库奇卡大禁区中央头球,球从左下角飞进球门,球进了!助攻的是索萨. AC米兰 1-0 佛罗伦萨.                   16'第16分钟，索萨右路任意球斜传，库茨卡前点距门9米处头球蹭进远角，1比0
18'Gustavo Gómez将球处理出底线,佛罗伦萨获得角球.                   16'第16分钟，索萨右路任意球斜传，库茨卡前点距门9米处头球蹭进远角，1比0
31'进球啦！！！AC米兰球员德乌洛费乌大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是帕萨利奇. AC米兰 2-1 佛罗伦萨.                   31'AC米兰第31分钟再度超出
34'德乌洛费乌为AC米兰赢得一个任意球.                   31'AC米兰第31分钟再度超出
34'佛罗伦萨球员伊利西奇拼抢犯规,对手获得控球权.                   31'AC米兰第31分钟再度超出
43'射门!!!AC米兰球员帕萨利奇大禁区中央右脚射门,被对方守门员横身扑出.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
44'苏索为AC米兰赢得一个任意球.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
44'佛罗伦萨球员Carlos Salcedo拼抢犯规,对手获得控球权.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
44'黄牌！佛罗伦萨球员Carlos Salcedo因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'佛罗伦萨球员维奇诺大禁区外右脚射门,被防守球员封堵.给他传球的是基耶萨.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'帕莱塔将球处理出底线,佛罗伦萨获得角球.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'+1'AC米兰球员苏索一脚直塞球给巴卡,但是边裁举旗显示后者已经越位.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'+1'AC米兰球员Leonel Vangioni拼抢犯规,对手获得控球权.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'+1'伊利西奇为佛罗伦萨在右路,赢得一个任意球.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'+1'黄牌！AC米兰球员Leonel Vangioni因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
45'+2'上半场结束,AC米兰 2-1 佛罗伦萨,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，阿巴特禁区右侧传球被封堵，帕沙利奇在门前15米处大力低射被塔塔鲁萨努指尖一托击中近门柱弹回
