11'姆巴耶右侧传中！                   11'尤文第11分钟取得领先
11'巴尔扎利清理出边线！                   11'尤文第11分钟取得领先
11'边线球给禁区内！                   11'尤文第11分钟取得领先
11'佩林出击脱手！                   11'尤文第11分钟取得领先
11'哲马伊利禁区右侧低射！                   11'尤文第11分钟取得领先
11'打中边网啊！                   11'尤文第11分钟取得领先
12'博努奇长传前场右侧登贝莱！                   11'尤文第11分钟取得领先
12'头球摆渡到禁区内！                   11'尤文第11分钟取得领先
13'马图伊迪跟进凌空爆射！                   11'尤文第11分钟取得领先
13'被扑出！                   11'尤文第11分钟取得领先
13'登贝莱跟进补射！                   11'尤文第11分钟取得领先
13'球进了！！                   11'尤文第11分钟取得领先
50'回传贝纳蒂亚！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
50'长传前场右侧！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
50'夸德拉多没有停好！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
50'球出了边线！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
51'卡拉布雷西右侧挑传禁区！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
51'姆巴耶得球传中！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
51'博努奇解围出去！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
51'哲马伊利和贝纳蒂亚顶到一起！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
53'皮亚尼奇挑传禁区右侧！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
53'争顶后被解围了！                   50'仅过5分钟，尤文就扩大比分，迪巴拉中路策动攻势，马图伊迪分球，坎塞洛左路斜长传，C罗禁区后点底线横扫门前被对方漏过，马图伊迪后点停球距门7米处左脚小角度打进球门顶端，2比0
