6'右侧配合被断                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
6'巴萨快速反击过来，小白中路快速盘带                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
6'禁区前沿直塞一脚，软了。想给内少，可惜没有通过，马罗阻断了线路                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
7'塞尔塔右侧的界外球                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
7'直接往禁区内传，小马哥把球挡了一下                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
7'外围塞尔塔一脚抢射，偏了                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
7'小马哥倒地有些受伤吗，还好，看上去没事                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
8'布拉尔横敲普拉纳斯                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
8'塞尔塔再往右侧的转移，布斯克茨上抢一步把球拦下                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
8'小马哥一路带球，杀到前场，左侧找内少                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
9'苏神来接应，在给罗贝托                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
9'罗贝托背身拿球，给到布斯克茨                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
9'巴萨连续的一脚出球，配合眼花缭乱啊                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
9'右路阿尔维斯助攻上来，奔袭底线，可惜出界                   6'第6分钟，圭德蒂回敲，塞内禁区边缘外低射偏出左侧立柱
15'布斯克茨中场拿球，转身摆脱                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
15'斜传一脚到禁区弧顶                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
15'小白左侧得球，搓入禁区内                   15'巴萨第15分钟错失良机，伊涅斯塔直传，内马尔小禁区边缘单刀捅射被塞尔吉奥扑出
