2'桑普多利亚球员波利大禁区外左脚射门,被防守球员封堵.给他传球的是奥比昂.                   1'桑普第1分钟占据优势，但被作客的乌迪内斯连下两城
28'进球啦！！！乌迪内斯球员迪纳塔莱大禁区中央左脚射门,球从中路飞进球门,球进了!助攻的是巴度. 桑普多利亚 0-2 乌迪内斯.                   28'第28分钟，巴杜直传，迪纳塔莱单刀推射入网
30'佩雷拉为乌迪内斯在右路,赢得一个任意球.                   28'第28分钟，巴杜直传，迪纳塔莱单刀推射入网
30'桑普多利亚球员安德烈-科斯塔拼抢犯规,对手获得控球权.                   28'第28分钟，巴杜直传，迪纳塔莱单刀推射入网
31'乌迪内斯球员赫塔奥球门线跟前尝试头球,可惜皮球偏出球门.给他传球的是迪纳塔莱.                   28'第28分钟，巴杜直传，迪纳塔莱单刀推射入网
63'桑普多利亚球员波利大禁区外左脚射门,被防守球员封堵.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
63'乌迪内斯球员阿兰犯规,致使对方获得点球.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
63'点球,伊卡迪在禁区内被侵犯,桑普多利亚获得点球.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
64'桑普多利亚球员波齐点球被对方守门员扑出.点球罚失.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
65'乌迪内斯球员平齐拼抢犯规,对手获得控球权.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
65'波利为桑普多利亚赢得一个任意球.                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
66'乌迪内斯换人,拉扎里换下平齐                   63'第63分钟，阿兰在禁区内被伊卡尔迪放倒，波齐主罚点球却被布尔基奇扑出
