1'纳瓦斯为曼城赢得一个任意球.                   1'开场不到1分钟，弗莱泽-坎贝尔点球点附近假摔侥幸逃脱处罚
1'卡迪夫城球员梅德尔拼抢犯规,对手获得控球权.                   1'开场不到1分钟，弗莱泽-坎贝尔点球点附近假摔侥幸逃脱处罚
11'冈纳尔森为卡迪夫城在对方半场,赢得一个任意球.                   11'第11分钟，维丁汉姆任意球传入禁区，弗莱泽-坎贝尔越位位置的头球攻门被乔-哈特扑出
11'曼城球员亚亚-图雷拼抢犯规,对手获得控球权.                   11'第11分钟，维丁汉姆任意球传入禁区，弗莱泽-坎贝尔越位位置的头球攻门被乔-哈特扑出
11'卡迪夫城球员惠廷汉姆一脚直塞球给考尔克,但是边裁举旗显示后者已经越位.                   11'第11分钟，维丁汉姆任意球传入禁区，弗莱泽-坎贝尔越位位置的头球攻门被乔-哈特扑出
13'冈纳尔森将球处理出底线,曼城获得角球.                   11'第11分钟，维丁汉姆任意球传入禁区，弗莱泽-坎贝尔越位位置的头球攻门被乔-哈特扑出
18'贝拉米将球处理出底线,曼城获得角球.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
18'曼城球员哲科大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是席尔瓦.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
20'贝拉米为卡迪夫城赢得一个任意球.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
20'曼城球员费尔南丁霍拼抢犯规,对手获得控球权.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
20'卡迪夫城球员冈纳尔森大禁区外右脚射门,被防守球员封堵.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
20'卡迪夫城球员康诺利一脚直塞球给F-坎贝尔,但是边裁举旗显示后者已经越位.                   18'第18分钟，席尔瓦传中，哲科头球攻门偏出
35'射门!!!曼城球员席尔瓦大禁区外左脚射门,被对方守门员横身扑出.给他传球的是纳瓦斯.                   35'第35分钟，纳瓦斯传球，席尔瓦20码处的左脚推射正入马绍尔下怀
38'曼城球员亚亚-图雷大禁区中央左脚射门,被防守球员封堵.给他传球的是哲科.                   35'第35分钟，纳瓦斯传球，席尔瓦20码处的左脚推射正入马绍尔下怀
38'卡迪夫城F-坎贝尔受伤倒地,比赛暂停                   35'第35分钟，纳瓦斯传球，席尔瓦20码处的左脚推射正入马绍尔下怀
43'卡迪夫城球员F-坎贝尔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是冈纳尔森.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
44'梅德尔为卡迪夫城赢得一个任意球.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
44'曼城球员费尔南丁霍拼抢犯规,对手获得控球权.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
44'射门!!!卡迪夫城球员F-坎贝尔大禁区左侧右脚射门,被对方守门员横身扑出.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
45'+1'哈维-加西亚将球处理出底线,卡迪夫城获得角球.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
45'+3'上半场结束,卡迪夫城 0-0 曼城,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，弗莱泽-坎贝尔接直传摆脱曼城防线，但停球稍大后错过射门机会
48'冈纳尔森将球处理出底线,曼城获得角球.                   48'第48分钟，纳瓦斯右路传中被解围，萨巴莱塔外围射门打偏，莱斯科特12码处扫射高出
48'曼城球员萨巴莱塔大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   48'第48分钟，纳瓦斯右路传中被解围，萨巴莱塔外围射门打偏，莱斯科特12码处扫射高出
48'曼城球员莱斯科特大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是萨巴莱塔.                   48'第48分钟，纳瓦斯右路传中被解围，萨巴莱塔外围射门打偏，莱斯科特12码处扫射高出
49'F-坎贝尔为卡迪夫城在左路,赢得一个任意球.                   48'第48分钟，纳瓦斯右路传中被解围，萨巴莱塔外围射门打偏，莱斯科特12码处扫射高出
49'曼城球员费尔南丁霍拼抢犯规,对手获得控球权.                   48'第48分钟，纳瓦斯右路传中被解围，萨巴莱塔外围射门打偏，莱斯科特12码处扫射高出
55'卡迪夫城球员安德鲁-泰勒一脚直塞球给考尔克,但是边裁举旗显示后者已经越位.                   55'第55分钟，纳斯里替换纳瓦斯出场
55'曼城换人,纳斯里换下纳瓦斯                   55'第55分钟，纳斯里替换纳瓦斯出场
56'卡迪夫城安德鲁-泰勒受伤倒地,比赛暂停                   55'第55分钟，纳斯里替换纳瓦斯出场
57'暂停结束,球员们重新开始比赛.                   55'第55分钟，纳斯里替换纳瓦斯出场
69'曼城换人,内格雷多换下哲科                   69'第69分钟，内格雷多替换哲科出场
