5'皇马的前场进攻，赢得了右侧角球机会！！                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
5'塞尔塔换人、；17号容卡拉伤被换下，换上了12号霍特                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
5'克罗斯的角球开出到门前                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
5'混战中，拉莫斯的一脚垫射，打飞了！                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
6'贝尔后场左路背身拿球，转身遭遇夹击                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
6'科斯塔斯上抢断球，斜塞找布法尔                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
6'传球传大了，直接出边线！                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
7'奥德里奥索拉右路拿球，横传莫德里奇                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
7'莫德里奇的过顶球找贝尔                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
7'贝尔头球摆渡再找奥德里奥索拉，被破坏                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
7'球到奥德里奥索拉脚下，再给莫德里奇                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
8'横传贝尔，大范围转移球到左路给插上的马塞洛                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
8'马塞洛的强突下底，传中到门前                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
8'布兰科出击，抢在本泽马之前，单拳将球打出                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
8'这球布兰科碰不到，本泽马直接可以收菜了                   5'塞尔塔开场仅5分钟遭遇打击，容卡拉伤被霍特换下
16'塞尔塔获得了前场中路的任意球机会！！                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
16'任意球搓传到禁区，被解围出来                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
16'霍特右路拿球，强突传中到前点                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
17'约库斯鲁的头球后蹭，戈麦斯门前头球接力                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
17'直奔球门，被纳瓦斯打出了底线                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
17'这个扑救，绝对的世界级啊！！                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
17'塞尔塔获得了左侧角球机会！！                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
17'角球开出到门前，纳瓦斯出击，单拳打了出来                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
19'西斯托右路拿球，内切横传门德斯                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
19'回传霍特，再给约库斯鲁                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
19'分球左路巴斯克斯，强突到前场                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
19'内切横传到禁区弧顶，瓦拉内的出击控制                   16'第16分钟，霍特右路传中，马克西-戈麦斯10码处头球攻门被纳瓦斯神勇救出
30'瓦拉内简单治疗后，起身跑到场外                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
31'哎呀，这运气。。。                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
31'阿森西奥禁区右侧拿球，挑传到后点                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
31'本泽马的倒勾打门，被阿劳霍干扰                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
31'球到了左侧贝尔脚下，凌空一脚抽射                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
32'击中横梁下檐弹出，到了门前                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
32'阿森西奥再抢，和巴斯克斯相撞                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
32'裁判鸣哨，吹罚了阿森西奥的犯规！                   30'第30分钟，阿森西奥右路内切传中，本泽马试图倒钩打门错过机会，贝尔远点10码处半凌空抽射打中横梁
41'再给伊斯科，分球马塞洛                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
41'直塞前插的贝尔，左路再传门前                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
41'滑门而过，本泽马和阿森西奥又没碰到                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
41'皇马的前场进攻，阿森西奥摔倒在禁区里                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
42'阿森西奥示意对方犯规，裁判没吹                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
42'比赛中断，主裁判和视频裁判组沟通！                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
43'简单沟通后，回到比赛，不犯规！！                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
44'霍特右路的直塞球找布法尔，直接出边线                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
44'本泽马中场拿球，分球给到贝尔                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
44'贝尔再给右侧的奥德里奥索拉                   41'第41分钟，贝尔左路传中，阿森西奥禁区边缘被巴斯克斯拉倒，VAR并未认定犯规
56'皇马的前场进攻，再次赢得左侧角球机会！！                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
56'克罗斯角球开出到门前，被防守球员解围                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
57'莫德里奇禁区弧顶得球，凌空一脚抽射                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
57'踢茨了，弹地后直奔球门                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
57'瓦拉内门前一躲，球钻进网窝                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
58'塞尔塔球员抗议皇马有球员处于越位位置，主裁判和VAR裁判组沟通                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
58'通过耳麦沟通后，主裁判亲自到了场边看录像                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
59'主裁判回来，进球无效，吹罚了瓦拉内越位位置干扰了布兰科的封堵！                   56'第56分钟，塞尔塔解围角球，摩德里奇禁区弧顶外抽射反弹球入左下角，但VAR判定瓦拉内在越位位置干扰门将，进球被判无效
