3'瓦伦西亚后场定位球！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
3'开球给前场中路！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
3'瓦拉内把球断下来！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
3'给后场左侧雷吉隆！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
4'雷吉隆直传球给前场左侧贝尔！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
4'贝尔起高球传中给本泽马                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
4'本泽马直接左脚怒射！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
4'打偏出了底线！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
5'门将开球给中场右侧！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
5'卡瓦哈尔把球顶到！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
5'皮球落到莫德里奇脚下！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
5'莫德里奇的球被加布里埃尔-席尔瓦破坏！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
5'内托把球得到！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
6'直传球给中场左侧柯奎林！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
6'回传后场中路加雷！                   3'开场仅3分钟，贝尔左路传中，本泽马15码处凌空扫射偏出左侧立柱
83'库尔图瓦开球给中路拉莫斯！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
84'拉莫斯直传球给前场！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
84'卡瓦哈尔右路带球推进！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
84'和伊斯科的撞墙配合！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
84'卡瓦哈尔给禁区中路本泽马！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
84'分球给中路的巴斯克斯！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
85'巴斯克斯跟进一脚打门！！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
85'GOOOOOOOOOOOOAL！！！2-0！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
85'巴斯克斯的破门！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
85'皇马2-0领先瓦伦西亚！                   83'皇马第83分钟扩大比分，本泽马禁区左侧横传，无人防守的卢卡斯8码处扫射右下角入网，2-0
