3'尤文图斯球员马尔基西奥大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   3'第3分钟，蓝鹰后防解围不远，马尔基西奥在门前28米处打高
14'拉齐奥球员克洛泽大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.                   14'第14分钟，巴尔扎利回传，布冯停球玩火，克洛泽在门前9米处铲射偏出右门柱
17'比亚瓦将球处理出底线,尤文图斯获得角球.                   14'第14分钟，巴尔扎利回传，布冯停球玩火，克洛泽在门前9米处铲射偏出右门柱
24'莱德斯马为拉齐奥赢得一个任意球.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
24'尤文图斯球员利希施泰纳拼抢犯规,对手获得控球权.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
24'点球,克洛泽在禁区内被侵犯,拉齐奥获得点球.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
24'尤文图斯球员布冯犯规,致使对方获得点球.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
24'裁判将尤文图斯的布冯直接红牌罚下.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
26'尤文图斯换人,斯托拉里换下阿萨莫阿                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
27'进球啦！！！拉齐奥球员坎德雷瓦右脚射门,球从左下角飞进球门,球进了! 拉齐奥 1-0 尤文图斯.                   24'第24分钟突现变故，克洛泽门前接应左路直塞被布冯扑倒，点球
36'射门!!!尤文图斯球员洛伦特大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是特维斯.                   36'第36分钟，特维斯右路传中，略伦特在门前7米处停球左脚凌空勾射，贝里沙脱手后还是将球拿到
37'卡万达为拉齐奥在右路,赢得一个任意球.                   36'第36分钟，特维斯右路传中，略伦特在门前7米处停球左脚凌空勾射，贝里沙脱手后还是将球拿到
37'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   36'第36分钟，特维斯右路传中，略伦特在门前7米处停球左脚凌空勾射，贝里沙脱手后还是将球拿到
58'拉齐奥球员比亚瓦拼抢犯规,对手获得控球权.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
58'特维斯为尤文图斯赢得一个任意球.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
58'黄牌！拉齐奥球员比亚瓦因为恶意犯规,被主裁判出示黄牌.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
58'拉齐奥球员坎德雷瓦大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是比格利亚.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
59'拉齐奥球员埃尔纳内斯大禁区外右脚射门,被防守球员封堵.给他传球的是比格利亚.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
60'进球啦！！！尤文图斯球员洛伦特小禁区右侧头球,球从左上角飞进球门,球进了!助攻的是利希施泰纳. 拉齐奥 1-1 尤文图斯.                   58'第58分钟，比亚瓦对特维斯犯规，被黄牌警告
60'进球啦！！！尤文图斯球员洛伦特小禁区右侧头球,球从左上角飞进球门,球进了!助攻的是利希施泰纳. 拉齐奥 1-1 尤文图斯.                   60'尤文第60分钟追平比分
62'射门!!!尤文图斯球员特维斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   60'尤文第60分钟追平比分
62'Etrit Berisha将球处理出底线,尤文图斯获得角球.                   60'尤文第60分钟追平比分
63'拉齐奥球员埃尔纳内斯大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎德雷瓦.                   60'尤文第60分钟追平比分
62'射门!!!尤文图斯球员特维斯大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   62'第62分钟，比达尔传过顶球，特维斯禁区右侧距门12米处转身抽射被贝里沙飞身托出近门柱
62'Etrit Berisha将球处理出底线,尤文图斯获得角球.                   62'第62分钟，比达尔传过顶球，特维斯禁区右侧距门12米处转身抽射被贝里沙飞身托出近门柱
63'拉齐奥球员埃尔纳内斯大禁区左侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是坎德雷瓦.                   62'第62分钟，比达尔传过顶球，特维斯禁区右侧距门12米处转身抽射被贝里沙飞身托出近门柱
65'拉齐奥换人,冈萨雷斯换下卡万达                   62'第62分钟，比达尔传过顶球，特维斯禁区右侧距门12米处转身抽射被贝里沙飞身托出近门柱
70'尤文图斯球员比达尔大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是博格巴.                   70'第70分钟，比达尔在门前28米处抽射高出
71'拉齐奥球员坎德雷瓦大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是埃尔纳内斯.                   70'第70分钟，比达尔在门前28米处抽射高出
72'尤文图斯球员特维斯大禁区中央右脚射门,被防守球员封堵.给他传球的是洛伦特.                   70'第70分钟，比达尔在门前28米处抽射高出
72'埃尔纳内斯为拉齐奥在左路,赢得一个任意球.                   70'第70分钟，比达尔在门前28米处抽射高出
72'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   70'第70分钟，比达尔在门前28米处抽射高出
76'射门!!!拉齐奥球员克洛泽球门线跟前头球,被对方守门员横身扑出.给他传球的是莱德斯马.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
76'埃尔纳内斯为拉齐奥在左路,赢得一个任意球.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
76'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
77'埃尔纳内斯为拉齐奥在对方半场,赢得一个任意球.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
77'尤文图斯球员比达尔拼抢犯规,对手获得控球权.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
78'拉齐奥球员冈萨雷斯大禁区外右脚射门,被防守球员封堵.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
79'坎德雷瓦为拉齐奥在右路,赢得一个任意球.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
79'尤文图斯球员博努奇拼抢犯规,对手获得控球权.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
79'黄牌！尤文图斯球员博努奇因为恶意犯规,被主裁判出示黄牌.                   76'拉齐奥第76分钟几乎再度超出，莱德斯马右侧开出任意球，克洛泽在门前6米处冲顶被斯托拉里单手一托击中横梁弹回场内
82'迪亚斯将球处理出底线,尤文图斯获得角球.                   82'第82分钟，特维斯开出角球，博努奇头球高出
82'尤文图斯球员博努奇大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是特维斯.                   82'第82分钟，特维斯开出角球，博努奇头球高出
83'拉齐奥球员冈萨雷斯拼抢犯规,对手获得控球权.                   82'第82分钟，特维斯开出角球，博努奇头球高出
