1'上半场比赛开始！                   1'第1分钟，拜仁牢牢掌握控球优势
1'首先开球的是顿涅茨克矿工                   1'第1分钟，拜仁牢牢掌握控球优势
1'拜仁中场拿球给到罗本                   1'第1分钟，拜仁牢牢掌握控球优势
1'拉菲尼亚禁区外围打一脚                   1'第1分钟，拜仁牢牢掌握控球优势
2'这球打得没有什么力量，皮亚托夫将球得到                   1'第1分钟，拜仁牢牢掌握控球优势
3'罗本拿球给到施魏因施泰格                   1'第1分钟，拜仁牢牢掌握控球优势
3'施魏因施泰格不做调整禁区前沿直接打门                   1'第1分钟，拜仁牢牢掌握控球优势
3'这球稍稍打得偏了一点点                   1'第1分钟，拜仁牢牢掌握控球优势
4'顿涅茨克矿工前场右路拿球被侵犯                   1'第1分钟，拜仁牢牢掌握控球优势
4'看看他们的任意球配合                   1'第1分钟，拜仁牢牢掌握控球优势
32'罗本中场回接，拜仁将球转移到边路                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
32'拜仁边路突破被放倒，裁判并没有吹犯规                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
33'穆勒后场防守犯规                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
33'舍夫丘克受伤倒地                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
33'队医进场进行查看                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
34'舍夫丘克这下是头部流血                   31'拜仁第31分钟创造机会，穆勒前场争顶下来，里贝里禁区左侧无私横传，无人紧逼的穆勒点球点铲射高出
38'里贝里左路突破被放倒                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
38'斯尔纳这边抱怨得到一张黄牌！                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
38'拜仁前场任意球机会                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
39'任意球给到门前，太靠近门将了                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
39'罗本右路推进上来                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
39'内切的一下大了一步                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
39'弗雷德上抢断了下来                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
40'诺伊尔这边已经出禁区来传球了。。。                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
40'拜仁往边路转移出现失误                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
41'顿涅茨克矿工中场拿球被断                   38'第38分钟，斯尔纳被里贝里突破后手上有动作，被黄牌警告
55'路易斯-阿德里亚诺停球后没有形成打门                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
55'拜仁的替补开始热身了                   55'第55分钟，里贝里被斯尔纳放倒，道格拉斯-科斯塔上前指责里贝里轻易倒地，里贝里也毫不示弱，双方在边线发生冲突，斯尔纳平息事态
